Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
636390,11879,Lisa,Perterer,AUT,1,00:10:17,00:00:19,00:32:37,00:00:18,00:18:19,1,,01:01:50
636390,39533,Leslie,Amat Alvarez,CUB,15,00:10:15,00:00:16,00:32:44,00:00:17,00:18:40,2,,01:02:12
636390,135532,Isla,Britton,CAN,2,00:10:18,00:00:26,00:32:30,00:00:19,00:18:49,3,,01:02:22
636390,165926,Lydia,Russell,USA,3,00:10:16,00:00:28,00:33:48,00:00:23,00:18:45,4,,01:03:40
636390,124447,Kira,Gupta-Baltazar,CAN,5,00:10:19,00:00:25,00:33:49,00:00:25,00:20:08,5,,01:05:06
636390,74245,Laurin,Thorne,CAN,11,00:10:29,00:00:17,00:35:54,00:00:16,00:20:52,6,,01:07:48
636390,178175,Carla,Larrabeiti,PER,10,00:11:12,00:00:17,00:36:01,00:00:24,00:20:14,7,,01:08:08
636390,165243,Shelby,Lajeunesse,CAN,8,00:10:20,00:00:22,00:35:54,00:00:15,00:22:23,8,,01:09:14
636390,174961,Juliette,Chenail-Lafond,CAN,12,00:10:22,00:00:20,00:36:02,00:00:22,00:24:11,9,,01:11:17
636390,175408,Nina,James,GRN,6,00:10:50,00:00:16,00:37:39,00:00:18,00:23:02,10,,01:12:05
636390,168591,Isis Nala,Gaskin,BAR,7,00:12:16,00:00:19,00:00:00,00:00:00,00:00:00,-3,LAP,00:00:00
636390,143080,Zahra,Gaskin,BAR,9,00:11:45,00:00:19,00:00:00,00:00:00,00:00:00,-3,LAP,00:00:00
636390,186215,Jenae Marie,Price,TTO,14,00:12:48,00:00:31,00:00:00,00:00:00,00:00:00,-3,LAP,00:00:00
