Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
630336,16392,Richard,Murray,NED,3,00:09:32,00:00:50,00:32:30,00:00:22,00:14:54,1,,00:58:07
630336,144208,Mathis,Beaulieu,CAN,25,00:09:35,00:00:57,00:32:27,00:00:31,00:14:45,2,,00:58:15
630336,164894,John,Reed,USA,7,00:09:21,00:01:00,00:32:34,00:00:36,00:14:50,3,,00:58:21
630336,42996,Erwin,Vanderplancke,BEL,38,00:09:33,00:00:58,00:32:23,00:00:24,00:15:08,4,,00:58:25
630336,156380,João Nuno,Batista,POR,31,00:09:16,00:01:00,00:32:42,00:00:28,00:15:04,5,,00:58:29
630336,50700,Bence,Bicsák,HUN,2,00:09:20,00:00:53,00:32:39,00:00:24,00:15:15,6,,00:58:31
630336,176980,Ryan,Luczak,USA,29,00:09:34,00:00:59,00:32:25,00:00:29,00:15:12,7,,00:58:39
630336,123460,Gjalt,Panjer,NED,44,00:09:20,00:00:56,00:32:37,00:00:26,00:15:22,8,,00:58:43
630336,135049,Mitch,Kolkman,NED,19,00:09:19,00:00:55,00:32:40,00:00:22,00:15:30,9,,00:58:45
630336,103258,Liam,Donnelly,CAN,22,00:09:37,00:00:57,00:32:23,00:00:25,00:15:25,10,,00:58:47
630336,162549,Reese,Vannerson,USA,30,00:09:34,00:00:56,00:32:28,00:00:27,00:15:24,11,,00:58:49
630336,115502,Brock,Hoel,CAN,9,00:09:20,00:00:57,00:32:40,00:00:25,00:15:32,12,,00:58:53
630336,127536,Sebastian,Wernersen,NOR,32,00:09:22,00:00:59,00:32:32,00:00:25,00:15:37,13,,00:58:55
630336,18714,Kevin,McDowell,USA,45,00:09:18,00:00:58,00:32:37,00:00:25,00:15:38,14,,00:58:56
630336,119074,Sébastien,Pascal,ROU,36,00:09:33,00:00:55,00:32:29,00:00:29,00:15:37,15,,00:59:04
630336,21622,Alois,Knabl,AUT,10,00:09:30,00:00:56,00:32:26,00:00:33,00:15:39,16,,00:59:04
630336,30433,Henri,Schoeman,RSA,5,00:09:16,00:00:59,00:32:39,00:00:23,00:15:46,17,,00:59:04
630336,56027,Diego,Moya,CHI,6,00:09:15,00:01:01,00:32:38,00:00:26,00:15:49,18,,00:59:10
630336,91064,Luke,Bate,AUS,18,00:09:25,00:00:54,00:32:35,00:00:24,00:15:54,19,,00:59:12
630336,96040,Vetle Bergsvik,Thorn,NOR,1,00:09:22,00:00:51,00:32:41,00:00:16,00:16:11,20,,00:59:22
630336,162964,Yael Vladimir,González Melendez,MEX,42,00:09:23,00:00:59,00:32:32,00:00:27,00:16:06,21,,00:59:27
630336,112754,Gabriel,Terán Carvajal,ECU,14,00:09:23,00:01:00,00:32:31,00:00:25,00:16:10,22,,00:59:29
630336,23656,Felix,Duchampt,ROU,8,00:09:35,00:00:56,00:32:29,00:00:29,00:16:04,23,,00:59:32
