Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
634223,113106,Jolien,Vermeylen,BEL,1,00:09:13,00:00:44,00:29:23,00:00:33,00:18:29,1,,00:58:19
634223,55701,Maya,Kingma,NED,4,00:09:13,00:00:46,00:29:20,00:00:36,00:18:28,2,,00:58:21
634223,115147,Nora,Gmür,SUI,5,00:09:17,00:00:45,00:29:16,00:00:31,00:18:54,3,,00:58:41
634223,131511,Robin,Dreijling,NED,16,00:09:36,00:00:42,00:29:00,00:00:33,00:19:10,4,,00:58:59
634223,135673,Luna,De Bruin,NED,15,00:09:34,00:00:45,00:28:57,00:00:33,00:19:24,5,,00:59:12
634223,96506,Carlotta,Missaglia,ITA,14,00:09:34,00:00:44,00:29:02,00:00:33,00:19:23,6,,00:59:14
634223,137276,Julia,Bröcker,GER,6,00:09:38,00:00:43,00:28:58,00:00:35,00:19:23,7,,00:59:16
634223,143329,Noemie,Beaulieu,CAN,22,00:09:35,00:00:43,00:29:02,00:00:34,00:19:30,8,,00:59:21
634223,80309,Kira,Hedgeland,AUS,7,00:09:24,00:00:45,00:29:12,00:00:33,00:20:02,9,,00:59:54
634223,137273,Jule,Behrens,GER,11,00:09:52,00:00:43,00:30:16,00:00:32,00:19:08,10,,01:00:29
634223,123462,Barbara,De Koning,NED,3,00:09:44,00:00:45,00:30:24,00:00:34,00:19:10,11,,01:00:35
634223,115022,Anja,Weber,SUI,18,00:09:15,00:00:43,00:29:19,00:00:31,00:20:56,12,,01:00:41
634223,151968,Léonie,Douche,FRA,31,00:09:35,00:00:44,00:29:02,00:00:35,00:21:05,13,,01:01:00
634223,119200,Elizabeth,Carr,IRL,8,00:09:40,00:00:54,00:30:22,00:00:39,00:19:40,14,,01:01:12
634223,159279,Maïra,Carreau,CAN,12,00:09:31,00:00:44,00:30:38,00:00:32,00:19:52,15,,01:01:14
634223,136130,Adelaide Anna,Badini Confalonieri,ITA,20,00:09:39,00:00:42,00:29:28,00:00:34,00:20:53,16,,01:01:14
634223,123501,Charlotte,Derbyshire,AUS,10,00:09:52,00:00:46,00:30:16,00:00:39,00:19:59,17,,01:01:30
634223,165400,Sidney,Clement,CAN,29,00:09:27,00:00:46,00:30:41,00:00:34,00:20:13,18,,01:01:39
634223,130014,Lara Thekla,Ungewickell,GER,27,00:09:49,00:00:43,00:30:18,00:00:34,00:20:17,19,,01:01:40
634223,149442,Hasse,Fleerackers,BEL,30,00:09:41,00:00:45,00:30:25,00:00:35,00:20:19,20,,01:01:43
634223,169659,Denise,Cavallini,ITA,28,00:09:39,00:00:48,00:30:29,00:00:39,00:20:23,21,,01:01:56
634223,132458,Vanessa,Possberg,SUI,41,00:09:34,00:00:43,00:29:31,00:00:32,00:21:40,22,,01:01:58
634223,186318,Danielle,Orie,USA,32,00:09:38,00:00:46,00:32:26,00:00:35,00:18:47,23,,01:02:09
634223,157742,Aniek,Mars,NED,37,00:09:43,00:00:48,00:30:19,00:00:37,00:20:44,24,,01:02:10
634223,136495,Charlotte,Faivre,FRA,34,00:09:45,00:00:44,00:30:20,00:00:36,00:20:49,25,,01:02:11
634223,115145,Mary,Hnatyshyn,CAN,33,00:09:46,00:00:51,00:30:20,00:00:41,00:20:38,26,,01:02:13
634223,114796,Silke,De Wolde,NED,35,00:09:46,00:00:46,00:30:20,00:00:34,00:20:57,27,,01:02:21
634223,165926,Lydia,Russell,USA,19,00:09:59,00:00:47,00:32:02,00:00:39,00:19:08,28,,01:02:33
634223,144164,Laura,Moreau,FRA,40,00:09:47,00:00:48,00:30:16,00:00:37,00:21:13,29,,01:02:39
634223,106416,Leana,Bissig,SUI,24,00:10:01,00:00:43,00:31:16,00:00:38,00:20:04,30,,01:02:40
634223,132194,Cade,Wright,HKG,21,00:09:51,00:00:45,00:30:21,00:00:35,00:21:37,31,,01:03:06
634223,111680,Liberty,Ricca,USA,23,00:09:37,00:00:47,00:30:34,00:00:37,00:21:59,32,,01:03:33
634223,170625,Babette,Rosman,NED,42,00:09:59,00:00:49,00:30:41,00:00:50,00:21:36,33,,01:03:54
634223,132195,Tallulah,Wright,HKG,25,00:09:53,00:00:45,00:30:21,00:00:39,00:22:27,34,,01:04:02
634223,170164,Mirjam,Huber,GER,38,00:09:42,00:00:52,00:31:38,00:00:38,00:22:56,35,,01:05:44
634223,124851,Marit,Van Den Berg,NED,17,00:10:08,00:00:44,00:33:04,00:00:35,00:21:43,36,,01:06:12
634223,103832,Ellie,Hoitink,AUS,2,00:10:04,00:00:44,00:31:12,00:00:00,00:00:00,,DNF,00:00:00
634223,64952,Emma,Jeffcoat,AUS,9,00:09:16,00:00:44,00:31:57,00:00:00,00:00:00,,DNF,00:00:00
634223,140765,Maite,Kuestner,GER,36,00:10:09,00:00:45,00:34:27,00:00:00,00:00:00,,DNF,00:00:00
634223,159761,Franziska,Neck,GER,43,00:09:52,00:00:50,00:34:37,00:00:00,00:00:00,,DNF,00:00:00
