Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
638333,126062,Magnus,Elbæk Ditlev,DEN,1,00:24:28,00:01:17,01:41:45,00:00:45,01:00:55,1,,03:09:08
638333,186735,Sam,Long,USA,3,00:26:55,00:01:22,01:42:10,00:00:34,00:58:44,2,,03:09:43
638333,96441,Mathis,Margirier,FRA,8,00:23:44,00:01:10,01:42:30,00:00:47,01:01:59,3,,03:10:08
638333,84497,Youri,Keulen,NED,18,00:23:45,00:01:03,01:45:01,00:00:48,01:00:12,4,,03:10:47
638333,7788,Alistair,Brownlee,GBR,17,00:23:39,00:01:07,01:42:39,00:00:42,01:03:38,5,,03:11:43
638333,49022,Menno,Koolhaas,NED,19,00:23:41,00:01:07,01:47:08,00:00:33,00:59:29,6,,03:11:55
638333,80630,Jason,West,USA,2,00:23:46,00:01:07,01:49:56,00:00:33,00:57:54,7,,03:13:15
638333,85218,Daniel,Bækkegård,DEN,7,00:23:44,00:01:16,01:44:47,00:00:51,01:03:15,8,,03:13:51
638333,96694,Sam,Laidlow,FRA,6,00:23:36,00:01:24,01:42:30,00:00:29,01:06:39,9,,03:14:36
638333,10141,Aaron,Royle,AUS,14,00:23:33,00:01:09,01:47:42,00:00:44,01:03:47,10,,03:16:54
638333,47901,Rodolphe,Von Berg,USA,9,00:24:24,00:01:10,01:45:38,00:00:37,01:06:14,11,,03:18:02
638333,127900,Rico,Bogen,GER,16,00:23:30,00:01:04,01:45:05,00:00:48,01:11:06,12,,03:21:32
638333,113138,Leon,Chevalier,FRA,10,00:26:57,00:01:12,01:52:20,00:00:58,01:02:39,13,,03:24:03
638333,17043,Ben,Kanute,USA,5,00:23:40,00:01:09,01:50:27,00:00:41,01:11:20,14,,03:27:14
638333,12431,David,McNamee,GBR,15,00:23:49,00:01:13,01:55:31,00:00:00,00:00:00,,DNF,00:00:00
638333,30633,Gregory,Barnaby,ITA,20,00:23:47,00:01:06,01:51:44,00:00:47,00:00:00,,DNF,00:00:00
638333,39736,Pieter,Heemeryck,BEL,4,00:24:30,00:01:17,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
638333,47139,Bradley,Weiss,RSA,11,00:25:15,00:01:17,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
638333,89797,Arthur,Horseau,FRA,21,00:26:59,00:01:12,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
638333,117231,Clement,Mignon,FRA,12,00:24:24,00:01:19,01:49:59,00:00:00,00:00:00,,DNF,00:00:00
