Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
582003,115483,Amber,Schlebusch,RSA,17,00:09:54,00:00:28,00:27:20,00:00:32,00:17:44,1,,00:55:55
582003,68698,Katie,Zaferes,USA,5,00:10:00,00:00:32,00:27:10,00:00:35,00:17:52,2,,00:56:07
582003,111962,Sofia,Rodriguez Moreno,MEX,3,00:09:58,00:00:28,00:27:18,00:00:37,00:18:14,3,,00:56:33
582003,49803,Diana,Castillo,COL,9,00:09:29,00:00:30,00:27:43,00:00:36,00:18:22,4,,00:56:39
582003,143774,Gabrielle,Lumkes,USA,7,00:10:06,00:00:27,00:27:09,00:00:34,00:19:14,5,,00:57:28
582003,159279,Maïra,Carreau,CAN,12,00:09:43,00:00:26,00:27:31,00:00:28,00:19:38,6,,00:57:45
582003,84982,Hiraku,Fukuoka,JPN,2,00:09:38,00:00:26,00:27:39,00:00:32,00:20:05,7,,00:58:17
582003,124520,Heidi,Juránková,CZE,14,00:09:48,00:00:25,00:27:31,00:00:31,00:20:13,8,,00:58:27
582003,143329,Noemie,Beaulieu,CAN,4,00:09:41,00:00:25,00:27:35,00:00:32,00:20:31,9,,00:58:41
582003,115050,Ekaterina,Shabalina,KAZ,1,00:10:02,00:00:29,00:29:29,00:00:32,00:19:00,10,,00:59:30
582003,140765,Maite,Kuestner,GER,24,00:10:11,00:00:25,00:29:00,00:00:30,00:19:58,11,,01:00:02
582003,123702,Alexandra,Poole,USA,21,00:10:14,00:00:28,00:29:21,00:00:37,00:19:30,12,,01:00:08
582003,167043,Michelle,Stratton,USA,16,00:09:53,00:00:31,00:29:15,00:00:38,00:19:55,13,,01:00:11
582003,111680,Liberty,Ricca,USA,11,00:09:32,00:00:29,00:30:00,00:00:33,00:20:13,14,,01:00:45
582003,123205,Evan Elizabeth,Welch,USA,38,00:10:07,00:00:27,00:29:27,00:00:31,00:20:42,15,,01:01:12
582003,159822,Madisen,Lavin,USA,6,00:09:29,00:00:34,00:29:59,00:00:43,00:21:00,16,,01:01:43
582003,88292,Laura,Mathews,USA,37,00:10:28,00:00:34,00:30:16,00:00:45,00:19:47,17,,01:01:48
582003,136298,Clara,Normand,CAN,15,00:10:14,00:00:27,00:29:18,00:00:33,00:21:28,18,,01:01:57
582003,132505,Kayla,Ribbink,RSA,20,00:10:01,00:00:29,00:30:44,00:00:35,00:20:18,19,,01:02:05
582003,123199,Camille,Buchanan,USA,19,00:10:10,00:00:29,00:29:25,00:00:38,00:21:35,20,,01:02:14
582003,172467,Sarah-Lee,Hevey,CAN,18,00:09:27,00:00:30,00:30:05,00:00:41,00:22:14,21,,01:02:55
582003,172567,Ashley,Smith,USA,29,00:10:05,00:00:30,00:31:43,00:00:39,00:20:00,22,,01:02:55
582003,139382,Jenna,Horner,USA,26,00:11:28,00:00:31,00:29:30,00:00:36,00:21:39,23,,01:03:43
582003,132250,Ava,Snyder,CAN,31,00:10:07,00:00:28,00:29:29,00:00:42,00:23:37,24,,01:04:21
582003,135629,María Alejandra,Coral Mejia,COL,22,00:10:18,00:00:26,00:31:43,00:00:52,00:21:06,25,,01:04:23
582003,165330,Olivia,Ebenstein,USA,25,00:10:10,00:00:26,00:31:31,00:00:31,00:21:57,26,,01:04:33
582003,123200,Abigail,Church,USA,35,00:10:33,00:00:42,00:31:13,00:00:39,00:21:49,27,,01:04:54
582003,128196,Lindsey,Batkiewicz,USA,36,00:10:29,00:00:31,00:30:15,00:00:39,00:23:19,28,,01:05:11
582003,175111,Meghan,Henry,USA,33,00:12:13,00:00:33,00:29:49,00:00:50,00:21:53,29,,01:05:15
582003,174961,Juliette,Chenail-Lafond,CAN,27,00:09:51,00:00:35,00:32:04,00:00:54,00:22:25,30,,01:05:48
582003,124071,Andie,Kuipers,ZIM,28,00:11:07,00:00:28,00:32:03,00:00:36,00:22:49,31,,01:07:01
582003,123206,Hannah,Ye,USA,30,00:10:14,00:00:25,00:29:22,00:00:37,00:00:00,,DNF,00:00:00
582003,176058,Carla,García Alcantarilla,ESP,32,00:10:29,00:00:30,00:32:47,00:00:32,00:00:00,,DNF,00:00:00
582003,165244,Rose-Emanuelle,Binette,CAN,23,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,-5,DNS,00:00:00
582003,175729,Shannon,Feran,USA,34,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,-5,DNS,00:00:00
582003,165926,Lydia,Russell,USA,8,00:10:03,00:00:27,00:27:14,00:00:40,00:18:02,-1,DSQ,00:00:00
