Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
636389,162549,Reese,Vannerson,USA,7,00:09:32,00:00:14,00:29:28,00:00:14,00:15:49,1,,00:55:17
636389,29226,Matthew,Wright,BAR,1,00:09:30,00:00:12,00:29:32,00:00:14,00:16:30,2,,00:55:58
636389,123188,Nicholas,Holmes,USA,2,00:09:45,00:00:12,00:29:57,00:00:25,00:15:45,3,,00:56:04
636389,171947,Sullivan,Middaugh,USA,6,00:10:18,00:00:17,00:28:39,00:00:14,00:16:37,4,,00:56:05
636389,178178,Blake,Bullard,USA,19,00:09:25,00:00:14,00:29:41,00:00:08,00:16:53,5,,00:56:21
636389,123192,Andrew,Shellenberger,USA,3,00:09:25,00:00:15,00:29:34,00:00:14,00:17:04,6,,00:56:32
636389,168754,Matthew,McGoey,USA,9,00:09:32,00:00:15,00:29:27,00:00:14,00:17:18,7,,00:56:46
636389,158901,Valentin,Van Wersch,NED,20,00:09:48,00:00:11,00:29:54,00:00:28,00:16:40,8,,00:57:01
636389,172835,Xoel,Rodriguez Abad,ESP,16,00:09:34,00:00:15,00:30:01,00:00:32,00:16:58,9,,00:57:20
636389,143420,Blake,Harris,CAN,8,00:09:41,00:00:15,00:29:58,00:00:26,00:17:23,10,,00:57:43
636389,169892,Brett,Saunders,CAN,14,00:09:26,00:00:17,00:29:31,00:00:14,00:18:22,11,,00:57:50
636389,142828,Luke,Anthony,USA,10,00:09:32,00:00:13,00:29:29,00:00:14,00:18:47,12,,00:58:15
636389,131932,Keller,Norland,USA,4,00:09:32,00:00:12,00:29:30,00:00:14,00:19:08,13,,00:58:36
636389,98188,Brodie,Marshall,CAN,11,00:09:30,00:00:11,00:29:38,00:00:09,00:19:31,14,,00:58:59
636389,175528,Carter,Stuhlmacher,USA,5,00:09:15,00:00:20,00:29:52,00:00:01,00:20:13,15,,00:59:41
636389,161443,Adoh,Doherty,USA,12,00:09:43,00:00:29,00:31:58,00:00:15,00:17:57,16,,01:00:22
636389,186340,Joshua,Bird,CAN,22,00:09:32,00:00:16,00:32:37,00:00:22,00:17:55,17,,01:00:42
636389,175043,Connor,Oats,USA,15,00:10:43,00:00:18,00:32:17,00:00:32,00:17:08,18,,01:00:58
636389,167763,Vladyslav,Lyesin,CAN,18,00:10:10,00:00:18,00:32:17,00:00:18,00:18:16,19,,01:01:19
636389,143835,Louis,Marchand,CAN,17,00:09:48,00:00:10,00:33:20,00:00:23,00:17:53,20,,01:01:34
636389,165783,Joshua,Malenchak,CAN,23,00:10:39,00:00:15,00:32:24,00:00:22,00:18:21,21,,01:02:01
636389,155323,Fynn,Armstrong,BAR,24,00:10:36,00:00:15,00:32:31,00:00:23,00:21:02,22,,01:04:47
636389,186621,Cain,Banfield,BAR,21,00:10:12,00:00:20,00:00:00,00:00:00,00:00:00,-3,LAP,00:00:00
