Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
582519,158795,Ilona,Hadhoum,FRA,23,00:09:51,00:00:33,00:28:36,00:00:30,00:17:19,1,,00:56:47
582519,165195,Jimena Renata,De La Peña Schott,TRI,2,00:10:23,00:00:32,00:28:09,00:00:32,00:17:21,2,,00:56:54
582519,166882,Manon,Laporte,FRA,31,00:10:13,00:00:33,00:28:17,00:00:26,00:17:37,3,,00:57:02
582519,167091,Johanna,Uherek,GER,30,00:10:18,00:00:33,00:28:13,00:00:27,00:17:51,4,,00:57:20
582519,148530,Margareta,Vrablova,SVK,28,00:10:12,00:00:31,00:28:18,00:00:25,00:18:02,5,,00:57:27
582519,141319,Dominga Elena,Jacome Espinoza,CHI,3,00:10:29,00:00:33,00:28:03,00:00:28,00:18:03,6,,00:57:34
582519,151968,Léonie,Douche,FRA,43,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,7,,00:57:41
582519,136366,Siyi,Zhang,CHN,4,00:10:36,00:00:33,00:27:58,00:00:27,00:18:10,8,,00:57:42
582519,166283,Rhianna,Hepburn,AUS,8,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,9,,00:57:43
582519,149442,Hasse,Fleerackers,BEL,21,00:10:18,00:00:38,00:28:05,00:00:25,00:18:27,10,,00:57:51
582519,158770,Tabea,Huys,AUT,24,00:10:11,00:00:33,00:28:18,00:00:25,00:18:46,11,,00:58:10
582519,176099,Cara,Macdonald,CAN,45,00:10:45,00:00:32,00:27:48,00:00:34,00:18:33,12,,00:58:10
582519,142813,Faith,Dasso,USA,7,00:10:36,00:00:33,00:27:53,00:00:25,00:18:53,13,,00:58:18
582519,157742,Aniek,Mars,NED,52,00:10:34,00:00:37,00:27:52,00:00:37,00:19:08,14,,00:58:46
582519,161410,Emma,Ryšávková,CZE,36,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,15,,00:59:04
582519,165440,Emma,Olson-Keating,AUS,18,00:10:42,00:00:30,00:27:46,00:00:26,00:19:49,16,,00:59:13
582519,163837,Hinaka,Masuda,JPN,14,00:10:28,00:00:32,00:28:04,00:00:29,00:19:43,17,,00:59:14
582519,158277,Kateřina,Hadravova,CZE,38,00:11:02,00:00:32,00:29:19,00:00:27,00:17:56,18,,00:59:14
582519,178100,Kjara,Reckmann,GER,51,00:10:44,00:00:34,00:27:47,00:00:26,00:19:50,19,,00:59:19
582519,143310,Alejandra,Seguí Soria,ESP,49,00:10:59,00:00:32,00:29:19,00:00:25,00:18:06,20,,00:59:19
582519,160817,Gwen,Nothum,LUX,37,00:10:23,00:00:36,00:28:04,00:00:26,00:19:53,21,,00:59:20
582519,169876,Linda,Krombach,LUX,54,00:10:54,00:00:32,00:29:25,00:00:23,00:18:16,22,,00:59:28
582519,161330,Lotte,Minnebo,BEL,53,00:10:37,00:00:35,00:27:52,00:00:28,00:20:06,23,,00:59:36
582519,158231,Alice,Alessandri,ITA,40,00:11:04,00:00:30,00:29:15,00:00:25,00:18:30,24,,00:59:42
582519,144046,Sophie,Spencer,NZL,9,00:10:54,00:00:33,00:29:22,00:00:24,00:18:31,25,,00:59:43
582519,167521,Isla,Hedley,GBR,58,00:10:51,00:00:34,00:29:30,00:00:24,00:18:26,26,,00:59:43
582519,158669,Manami,Hayashi,JPN,1,00:10:35,00:00:33,00:29:43,00:00:25,00:18:32,27,,00:59:46
582519,142820,Naomi,Ruff,USA,22,00:10:24,00:00:35,00:29:59,00:00:30,00:18:24,28,,00:59:49
582519,170163,Marielle,Bouchti,GER,42,00:10:45,00:00:36,00:29:35,00:00:29,00:18:29,29,,00:59:51
582519,136171,Bethany,Cook,GBR,11,00:10:33,00:00:35,00:29:44,00:00:27,00:18:50,30,,01:00:08
582519,161759,Julia,Munhoz,BRA,6,00:10:32,00:00:35,00:29:47,00:00:36,00:18:53,31,,01:00:22
582519,158986,Laura Inez,Papp,HUN,39,00:10:26,00:00:33,00:29:54,00:00:28,00:19:03,32,,01:00:23
582519,132926,Amanda,Moro,BRA,27,00:11:16,00:00:37,00:30:14,00:00:33,00:18:05,33,,01:00:43
582519,136256,Lili,Dobi,HUN,34,00:10:39,00:00:35,00:29:41,00:00:25,00:19:31,34,,01:00:49
582519,161331,Eline,Debecker,BEL,41,00:10:37,00:00:34,00:29:42,00:00:29,00:19:43,35,,01:01:03
582519,158314,Eleonora,Demarchi,ITA,61,00:11:18,00:00:34,00:30:13,00:00:26,00:18:39,36,,01:01:09
582519,166369,Zoe,Metais,HKG,10,00:10:37,00:00:33,00:29:44,00:00:25,00:19:52,37,,01:01:09
582519,136359,Pauline,Courret,HKG,5,00:10:39,00:00:36,00:29:40,00:00:24,00:19:55,38,,01:01:13
582519,156382,Maria,Gonçalves,POR,59,00:11:13,00:00:34,00:30:23,00:00:25,00:18:47,39,,01:01:19
582519,165318,Clara,James-Heer,USA,56,00:11:28,00:00:37,00:30:04,00:00:31,00:18:43,40,,01:01:20
582519,175790,Lomé,Gouws,RSA,60,00:11:21,00:00:36,00:30:10,00:00:31,00:18:53,41,,01:01:29
582519,148768,Noémi,Van Der Kaaij,SUI,50,00:10:52,00:00:31,00:29:30,00:00:24,00:20:18,42,,01:01:33
582519,148089,Grete Maria,Savitsch,EST,15,00:10:51,00:00:36,00:29:29,00:00:28,00:20:15,43,,01:01:38
582519,151111,Iva,Pavlovic,SRB,25,00:10:52,00:00:35,00:29:29,00:00:37,00:20:07,44,,01:01:39
582519,136575,Ugne,Pauryte,LTU,12,00:11:33,00:00:33,00:29:59,00:00:28,00:19:15,45,,01:01:46
582519,158394,Yali,Vitkin,ISR,20,00:10:53,00:00:31,00:29:25,00:00:23,00:20:45,46,,01:01:55
582519,159400,Heidi,Henry,CAN,57,00:10:48,00:00:33,00:29:37,00:00:30,00:20:41,47,,01:02:07
582519,164863,Kadence,Ribbink,RSA,48,00:11:13,00:00:43,00:30:10,00:00:31,00:19:49,48,,01:02:24
582519,165610,Alexandra,Field,AUS,26,00:10:36,00:00:33,00:30:34,00:00:26,00:20:44,49,,01:02:51
582519,158526,Sára,Lehmann,HUN,55,00:10:57,00:00:33,00:30:39,00:00:26,00:20:30,50,,01:03:02
582519,161205,Anika,Visser,RSA,33,00:11:16,00:00:42,00:31:07,00:00:37,00:19:30,51,,01:03:10
582519,161316,Celina,Kaarup,DEN,46,00:11:12,00:00:33,00:30:22,00:00:27,00:21:17,52,,01:03:50
582519,133000,Maria De Los Angeles,Bonilla Garcia,ECU,62,00:10:59,00:00:33,00:29:21,00:00:26,00:23:37,53,,01:04:53
582519,171945,Beatrice,Normand,CAN,29,00:10:46,00:00:34,00:33:23,00:00:25,00:20:05,54,,01:05:11
582519,175414,Hannah,Prosser,NZL,19,00:11:31,00:00:37,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
582519,158201,Nora Romina,Nádas,HUN,32,00:10:15,00:00:31,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
582519,165400,Sidney,Clement,CAN,35,00:10:34,00:00:40,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
582519,160631,Olivia,Logan,GBR,44,00:10:41,00:00:31,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
582519,175514,Ruth,Pardy,USA,47,00:10:31,00:00:34,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
582519,166741,María,López Faraudo,MEX,17,00:12:18,00:00:32,00:00:00,00:00:00,00:00:00,-3,LAP,00:00:00
