Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
628474,165400,Sidney,Clement,CAN,12,00:10:05,00:00:44,00:27:52,00:00:32,00:17:25,1,,00:56:35
628474,175217,Béatrice,Filion,CAN,26,00:11:01,00:00:35,00:27:07,00:00:31,00:17:36,2,,00:56:47
628474,171945,Beatrice,Normand,CAN,14,00:10:40,00:00:37,00:27:24,00:00:33,00:17:37,3,,00:56:48
628474,165195,Jimena Renata,De La Peña Schott,TRI,1,00:10:33,00:00:39,00:27:29,00:00:35,00:17:43,4,,00:56:57
628474,175113,Alexandra,Campbell,CAN,16,00:10:12,00:00:38,00:27:52,00:00:30,00:18:05,5,,00:57:14
628474,186552,Ellison,Wolfe,USA,38,00:10:53,00:00:46,00:27:07,00:00:35,00:18:03,6,,00:57:21
628474,172430,Angelina,Carvalho Silva,BRA,17,00:11:00,00:00:41,00:27:01,00:00:32,00:18:26,7,,00:57:37
628474,143556,Bivian Andrea Luisita,Diaz Fuentes,GUA,2,00:10:54,00:00:38,00:27:09,00:00:30,00:18:36,8,,00:57:44
628474,165328,Mia,Wentzy,USA,37,00:10:41,00:00:41,00:27:22,00:00:35,00:18:30,9,,00:57:46
628474,180524,Ava,Pfaff,USA,44,00:10:48,00:00:42,00:27:13,00:00:33,00:18:40,10,,00:57:53
628474,179293,Andrea Micol,Legaspi,MEX,8,00:10:37,00:00:38,00:27:29,00:00:36,00:18:42,11,,00:57:59
628474,175524,Charlotte,Joseph,USA,20,00:10:50,00:00:39,00:27:13,00:00:32,00:18:54,12,,00:58:04
628474,143514,Zoe,Adam,PUR,4,00:10:20,00:00:41,00:27:41,00:00:33,00:18:56,13,,00:58:07
628474,165318,Clara,James-Heer,USA,15,00:10:44,00:00:42,00:27:17,00:00:33,00:18:57,14,,00:58:10
628474,179350,Isabella,Carreras Bayardo,MEX,31,00:10:39,00:00:41,00:27:22,00:00:33,00:19:09,15,,00:58:20
628474,175522,Jenna,Gilhooly,USA,25,00:10:35,00:00:44,00:27:26,00:00:44,00:19:09,16,,00:58:36
628474,166833,Renata Camila,Soria Bravo,ECU,32,00:10:55,00:00:38,00:27:09,00:00:37,00:19:24,17,,00:58:41
628474,175514,Ruth,Pardy,USA,42,00:10:32,00:00:43,00:27:26,00:00:33,00:19:47,18,,00:58:58
628474,166741,María,López Faraudo,MEX,3,00:11:48,00:00:37,00:28:09,00:00:33,00:18:04,19,,00:59:07
628474,165319,Clare,Dasso,USA,30,00:10:37,00:00:41,00:27:23,00:00:33,00:19:58,20,,00:59:09
628474,166834,Sol,Ottenhsimer Schreiber,CHI,9,00:10:40,00:00:38,00:27:25,00:00:31,00:20:00,21,,00:59:10
628474,186286,Natalia,Cortés Gonzalez,MEX,23,00:10:22,00:00:39,00:27:42,00:00:40,00:20:09,22,,00:59:30
628474,172267,Samantha,Wood,CAN,33,00:10:42,00:00:38,00:27:21,00:00:37,00:20:35,23,,00:59:51
628474,180525,Andie,Psilopoulos,USA,43,00:10:21,00:00:41,00:27:41,00:00:32,00:20:41,24,,00:59:53
628474,165327,Marley,Andelman,USA,18,00:11:03,00:00:42,00:28:49,00:00:32,00:19:20,25,,01:00:24
628474,179271,Nayla,Figueroa Padilla,MEX,22,00:10:41,00:00:42,00:27:20,00:00:35,00:21:20,26,,01:00:35
628474,186282,Rebeca Sofia,Rivero Franco,MEX,41,00:10:50,00:00:45,00:27:06,00:00:40,00:21:23,27,,01:00:41
628474,186281,Cinthia,López Ortega,MEX,34,00:11:06,00:00:44,00:28:45,00:00:35,00:19:41,28,,01:00:48
628474,175520,Caroline,Irvin,USA,29,00:11:47,00:00:42,00:29:11,00:00:38,00:19:22,29,,01:01:37
628474,180879,Victoria,Medina Quintero,MEX,35,00:11:07,00:00:38,00:28:50,00:00:34,00:20:31,30,,01:01:38
628474,180037,Regina,Michel Camacho,MEX,40,00:11:09,00:00:42,00:29:50,00:00:35,00:19:28,31,,01:01:41
628474,186317,Addison,Champagne,CAN,24,00:11:49,00:00:43,00:29:07,00:00:39,00:20:30,32,,01:02:45
628474,168118,Karen Guadalupe,Castro Rivas,MEX,6,00:10:16,00:00:45,00:27:44,00:00:38,00:23:28,33,,01:02:48
628474,166822,Sofia,De Rosas,ARG,11,00:10:58,00:00:42,00:28:55,00:00:36,00:21:43,34,,01:02:52
628474,183261,Raphaela,Lima,USA,39,00:11:04,00:00:50,00:28:43,00:00:40,00:21:43,35,,01:02:57
628474,186041,Mikele Katerina,Jopson,PHI,27,00:11:45,00:00:46,00:29:08,00:00:33,00:21:08,36,,01:03:18
628474,165243,Shelby,Lajeunesse,CAN,21,00:11:03,00:00:42,00:28:49,00:00:35,00:23:23,37,,01:04:30
628474,181792,Erin,Pritchard,BAH,36,00:11:07,00:00:47,00:29:47,00:00:46,00:25:03,38,,01:07:27
628474,179171,Rebecca,Jansen,ARU,7,00:11:10,00:00:48,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
628474,175525,Emily,Knopfle,USA,28,00:12:08,00:00:42,00:00:00,00:00:00,00:00:00,-3,LAP,00:00:00
628474,186235,Zoe Jazmin,Alfaro Aldana,PER,19,00:11:51,00:01:04,00:00:00,00:00:00,00:00:00,-3,LAP,00:00:00
