Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
628547,74419,Alberto,Gonzalez Garcia,ESP,7,00:09:25,00:00:52,00:27:24,00:00:18,00:15:18,1,,00:53:17
628547,63428,Antonio,Serrat Seoane,ESP,3,00:09:32,00:00:54,00:27:18,00:00:17,00:15:21,2,,00:53:22
628547,39264,Kenji,Nener,JPN,1,00:09:21,00:00:55,00:27:26,00:00:16,00:15:26,3,,00:53:24
628547,55495,Luke,Willian,AUS,11,00:09:40,00:00:51,00:27:37,00:00:17,00:15:13,4,,00:53:38
628547,132889,David,Cantero Del Campo,ESP,22,00:10:01,00:00:53,00:27:41,00:00:17,00:14:58,5,,00:53:50
628547,104983,Max,Stapley,GBR,31,00:09:27,00:00:56,00:27:20,00:00:20,00:15:52,6,,00:53:55
628547,80663,Darr,Smith,USA,15,00:09:22,00:00:56,00:27:24,00:00:18,00:16:01,7,,00:54:01
628547,176644,Panagiotis,Bitados,GRE,40,00:09:26,00:00:58,00:27:17,00:00:15,00:16:17,8,,00:54:13
628547,97196,Matthew,McElroy,USA,8,00:10:06,00:00:53,00:27:37,00:00:18,00:15:22,9,,00:54:16
628547,103634,Saxon,Morgan,NZL,39,00:09:28,00:00:53,00:27:21,00:00:23,00:16:19,10,,00:54:24
628547,31824,David,Castro Fajardo,ESP,12,00:09:48,00:00:55,00:27:54,00:00:25,00:15:24,11,,00:54:26
628547,21622,Alois,Knabl,AUT,28,00:09:27,00:00:57,00:27:19,00:00:19,00:16:25,12,,00:54:27
628547,58566,Emil,Holm,DEN,21,00:09:56,00:00:54,00:27:45,00:00:19,00:15:37,13,,00:54:31
628547,18714,Kevin,McDowell,USA,64,00:09:43,00:00:52,00:27:35,00:00:17,00:16:06,14,,00:54:33
628547,93402,Martin,Sobey,CAN,6,00:09:43,00:00:53,00:27:34,00:00:19,00:16:05,15,,00:54:34
628547,103633,Janus,Staufenberg,NZL,38,00:09:52,00:00:54,00:27:49,00:00:18,00:15:42,16,,00:54:35
628547,41831,Gregor,Payet,LUX,45,00:09:57,00:00:54,00:27:44,00:00:18,00:15:44,17,,00:54:37
628547,56153,Márk,Dévay,HUN,5,00:09:15,00:00:57,00:27:29,00:00:19,00:16:40,18,,00:54:40
628547,98547,Takumi,Hojo,JPN,24,00:09:34,00:00:54,00:27:43,00:00:22,00:16:10,19,,00:54:43
628547,50700,Bence,Bicsák,HUN,4,00:09:41,00:00:55,00:28:00,00:00:19,00:15:49,20,,00:54:44
628547,83434,Ben,Dijkstra,GBR,37,00:10:03,00:00:57,00:27:36,00:00:20,00:15:52,21,,00:54:48
628547,110784,Aoba,Yasumatsu,JPN,17,00:09:45,00:00:52,00:28:00,00:00:18,00:15:55,22,,00:54:50
628547,125008,Robin,Elg,HKG,43,00:09:24,00:00:54,00:27:24,00:00:16,00:16:55,23,,00:54:53
628547,76425,Seth,Rider,USA,16,00:09:30,00:00:56,00:27:17,00:00:21,00:16:50,24,,00:54:54
628547,45915,Jacob,Birtwhistle,AUS,20,00:10:04,00:00:56,00:27:36,00:00:19,00:16:04,25,,00:54:59
628547,7167,Gaspar,Riveros,CHI,32,00:09:58,00:00:55,00:27:42,00:00:19,00:16:15,26,,00:55:09
628547,41102,Martin,Demuth,AUT,46,00:09:23,00:00:54,00:27:26,00:00:21,00:17:10,27,,00:55:14
628547,7503,Crisanto,Grajales,MEX,23,00:09:38,00:00:58,00:28:01,00:00:22,00:16:22,28,,00:55:21
628547,95498,Shing Him,Yu,HKG,57,00:09:52,00:00:55,00:27:50,00:00:19,00:16:30,29,,00:55:26
628547,31810,Jumpei,Furuya,JPN,25,00:10:02,00:00:59,00:27:35,00:00:19,00:16:38,30,,00:55:33
628547,33705,Nicola,Azzano,ITA,27,00:09:35,00:00:55,00:28:05,00:00:18,00:16:51,31,,00:55:44
628547,11162,Rostislav,Pevtsov,AZE,19,00:09:56,00:00:55,00:27:47,00:00:21,00:16:49,32,,00:55:48
628547,18417,Stefan,Zachäus,LUX,52,00:09:36,00:00:55,00:27:38,00:00:00,00:34:11,33,,00:55:51
628547,103764,Itamar,Eshed,ISR,55,00:09:50,00:00:57,00:22:07,00:06:02,00:16:58,34,,00:55:54
628547,72784,Gabriel,Sandör,SWE,60,00:10:06,00:00:52,00:27:40,00:00:18,00:17:01,35,,00:55:57
628547,80317,Kurt,Wesley,AUS,44,00:09:42,00:00:51,00:27:38,00:00:16,00:17:37,36,,00:56:04
628547,58385,Sylvain,Fridelance,SUI,41,00:09:39,00:00:54,00:27:36,00:00:21,00:17:37,37,,00:56:07
628547,109796,Cheung Sing Nicholas,Tsang,HKG,62,00:09:58,00:00:55,00:27:46,00:00:18,00:17:10,38,,00:56:07
628547,68564,Henry,Räppo,EST,53,00:09:55,00:00:57,00:11:04,00:17:01,00:17:11,39,,00:56:08
628547,90031,Ren,Sato,JPN,18,00:09:57,00:00:58,00:27:42,00:00:20,00:17:25,40,,00:56:22
628547,122645,Kyotaro,Yoshikawa,JPN,34,00:09:54,00:00:57,00:27:46,00:00:22,00:17:32,41,,00:56:31
628547,106435,Valdemar,Solok,DEN,65,00:10:01,00:00:56,00:27:37,00:00:19,00:17:41,42,,00:56:34
628547,94563,Tjebbe,Kaindl,AUT,26,00:09:51,00:00:49,00:27:29,00:00:18,00:18:53,43,,00:57:20
628547,63402,Ayan,Beisenbayev,KAZ,9,00:10:00,00:00:54,00:29:44,00:00:22,00:16:34,44,,00:57:34
628547,55960,Koki,Yamamoto,JPN,49,00:09:29,00:00:55,00:27:46,00:00:20,00:19:25,45,,00:57:55
628547,112754,Gabriel,Terán Carvajal,ECU,36,00:09:44,00:00:54,00:30:00,00:00:20,00:17:05,46,,00:58:03
628547,125011,Daniel,Dixon,GBR,30,00:09:31,00:00:55,00:28:13,00:00:23,00:19:08,47,,00:58:10
628547,40710,Russell,White,IRL,59,00:10:07,00:00:56,00:29:35,00:00:18,00:17:35,48,,00:58:31
628547,49284,Donald,Hillebregt,NED,61,00:10:05,00:00:59,00:29:36,00:00:26,00:17:27,49,,00:58:33
628547,108438,Jesus Gildardo,Espiritu,MEX,56,00:09:39,00:01:00,00:30:01,00:00:19,00:17:42,50,,00:58:41
628547,85863,Badr,Siwane,MAR,29,00:09:26,00:00:59,00:30:13,00:00:20,00:17:56,51,,00:58:54
628547,116814,Tzu I,Pan,TPE,48,00:10:00,00:00:55,00:29:43,00:00:20,00:18:17,52,,00:59:15
628547,55763,Temirlan,Temirov,KAZ,50,00:10:07,00:00:54,00:17:44,00:00:03,00:30:34,53,,00:59:22
628547,104247,Genta,Uchida,JPN,33,00:09:49,00:00:57,00:29:52,00:00:24,00:18:37,54,,00:59:39
628547,109797,Jason Tai Long,Ng,HKG,10,00:09:57,00:00:54,00:31:53,00:00:19,00:17:05,55,,01:00:08
628547,172097,Rashif,Amila Yaqin,INA,63,00:10:23,00:00:59,00:32:12,00:00:26,00:18:24,56,,01:02:24
628547,83054,Leon,Pauger,AUT,47,00:09:48,00:00:55,00:30:23,00:00:22,00:23:05,57,,01:04:33
628547,56027,Diego,Moya,CHI,14,00:09:18,00:00:56,00:27:32,00:00:25,00:26:50,58,,01:05:01
628547,73078,Lasse Nygaard,Priester,GER,2,00:09:42,00:00:51,00:28:05,00:00:18,00:00:00,,DNF,00:00:00
628547,97101,Samuele,Angelini,ITA,51,00:09:59,00:00:55,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
628547,30485,Bob,Haller,LUX,54,00:10:59,00:00:00,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
628547,75287,Meirlan,Iskakov,KAZ,58,00:09:50,00:00:57,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
