Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
628473,162549,Reese,Vannerson,USA,1,00:09:33,00:00:39,00:24:54,00:00:28,00:15:11,1,,00:50:42
628473,165278,Osvaldo Darell,Zuñiga Fierro,MEX,2,00:09:39,00:00:37,00:24:46,00:00:34,00:15:20,2,,00:50:55
628473,162320,Vinicius,Avi Santana,BRA,3,00:10:17,00:00:34,00:24:09,00:00:28,00:15:38,3,,00:51:04
628473,172565,Tiago,Muñoz,ARG,5,00:10:03,00:00:38,00:24:23,00:00:31,00:15:44,4,,00:51:18
628473,166519,Rodrigo,Pacheco Gajá,MEX,20,00:10:18,00:00:38,00:24:07,00:00:29,00:15:48,5,,00:51:18
628473,166876,Daniel,Ubilla Sababa,CHI,17,00:09:29,00:00:36,00:25:03,00:00:29,00:15:51,6,,00:51:27
628473,171949,Leandre,Binette,CAN,23,00:09:40,00:00:33,00:24:53,00:00:28,00:16:01,7,,00:51:32
628473,165090,Henry,Bristol,CAN,9,00:10:07,00:00:37,00:24:18,00:00:31,00:16:14,8,,00:51:44
628473,166517,Rubén Emmanuel,Chavéz Michel,MEX,18,00:09:41,00:00:38,00:24:47,00:00:28,00:16:23,9,,00:51:55
628473,165196,Alfredo Miguel,Rodríguez Figueroa,MEX,8,00:09:28,00:00:39,00:24:59,00:00:33,00:16:21,10,,00:51:58
628473,175530,Isaac,Lamprecht,USA,54,00:10:06,00:00:38,00:24:24,00:00:27,00:16:27,11,,00:52:01
628473,174546,Matteo,Tonnos,CAN,24,00:10:08,00:00:35,00:24:27,00:00:31,00:16:22,12,,00:52:02
628473,179232,Pablo Joel,Calderon Garcia,MEX,19,00:09:32,00:00:36,00:24:57,00:00:32,00:16:30,13,,00:52:05
628473,169545,Alejandro,Villota,COL,6,00:10:10,00:00:35,00:24:22,00:00:43,00:16:22,14,,00:52:11
628473,182427,Luis Miguel,Chávez Sánchez,MEX,31,00:10:10,00:00:38,00:24:21,00:00:29,00:16:41,15,,00:52:17
628473,165295,Jake,Adler,USA,28,00:09:56,00:00:36,00:24:30,00:00:27,00:16:52,16,,00:52:18
628473,163546,Sebastián Ignacio,Colillanca Uribe,CHI,7,00:10:21,00:00:38,00:24:10,00:00:30,00:16:43,17,,00:52:20
628473,167758,James,Sikich,CAN,39,00:10:15,00:00:37,00:24:12,00:00:35,00:16:49,18,,00:52:26
628473,186315,Samuel,Beaulieu,CAN,29,00:10:09,00:00:39,00:24:19,00:00:29,00:16:57,19,,00:52:31
628473,162443,João Vitor,Mazorca,BRA,22,00:09:30,00:00:41,00:24:51,00:00:36,00:17:02,20,,00:52:37
628473,178178,Blake,Bullard,USA,51,00:09:14,00:00:39,00:25:14,00:00:28,00:17:12,21,,00:52:44
628473,175433,Sebastian,Zurob,CHI,15,00:10:18,00:00:38,00:23:59,00:00:38,00:17:22,22,,00:52:53
628473,179227,Emilio,Ibarra Veyna,MEX,43,00:09:35,00:00:39,00:24:54,00:00:33,00:17:16,23,,00:52:56
628473,165310,Nathaniel,Mckillop,USA,27,00:09:59,00:00:40,00:24:29,00:00:29,00:17:33,24,,00:53:08
628473,186310,Simon,Drolet,CAN,49,00:10:07,00:00:45,00:24:19,00:00:42,00:17:19,25,,00:53:10
628473,165308,Jeremy,Hall,USA,55,00:10:15,00:00:36,00:24:14,00:00:30,00:17:41,26,,00:53:14
628473,186287,Alejandro,Pérez Monterd,MEX,26,00:10:09,00:00:39,00:24:17,00:00:28,00:17:44,27,,00:53:15
628473,168021,Christiaan,Jansen,ARU,14,00:10:18,00:00:37,00:24:09,00:00:37,00:17:35,28,,00:53:15
628473,165309,Julian,Barre,USA,33,00:09:42,00:00:40,00:24:46,00:00:32,00:17:45,29,,00:53:23
628473,186741,Lucas,Brighty,USA,50,00:10:04,00:00:38,00:24:26,00:00:30,00:17:52,30,,00:53:29
628473,162903,Hudson,Hamilton,USA,12,00:09:38,00:00:36,00:24:53,00:00:31,00:18:07,31,,00:53:42
628473,186283,Axel,García Rosales,MEX,48,00:09:38,00:00:36,00:24:51,00:00:34,00:18:11,32,,00:53:47
628473,165288,Eli,McWard,USA,10,00:09:39,00:00:36,00:24:50,00:00:29,00:18:24,33,,00:53:57
628473,175429,David,Sanchez Cabral,MEX,38,00:09:26,00:00:42,00:25:01,00:00:33,00:18:20,34,,00:54:00
628473,175527,Wills,Gillis,USA,52,00:10:14,00:00:40,00:24:13,00:00:31,00:18:31,35,,00:54:07
628473,175197,Leo,Savoie,CAN,37,00:10:19,00:00:36,00:24:13,00:00:32,00:18:33,36,,00:54:11
628473,175677,Diego,Ladera Querales,PER,41,00:10:11,00:00:38,00:24:17,00:00:30,00:19:35,37,,00:55:10
628473,166683,Luca,Ascenco,BRA,16,00:10:17,00:00:38,00:24:13,00:00:32,00:20:06,38,,00:55:43
628473,165314,Augusto,Caceres,TRI,30,00:10:39,00:00:37,00:26:31,00:00:31,00:17:31,39,,00:55:47
628473,175309,Isaac,Lapointe,CAN,53,00:09:35,00:00:37,00:24:53,00:00:31,00:21:17,40,,00:56:51
628473,166239,Mateo,Pesantez,ECU,11,00:10:21,00:00:39,00:26:01,00:00:38,00:19:29,41,,00:57:06
628473,175431,Rodrigo,Torres Aliaga,CHI,35,00:10:27,00:00:38,00:26:44,00:00:37,00:19:12,42,,00:57:36
628473,168805,Alain Brian,Fernández Pérez,CUB,46,00:10:29,00:00:45,00:27:26,00:00:30,00:18:39,43,,00:57:47
628473,179358,Antonio Alejandro,Soria Mesa,ECU,36,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,44,,00:57:54
628473,186314,Laurent,Tetreault,CAN,40,00:10:23,00:00:45,00:25:52,00:01:07,00:19:59,45,,00:58:04
628473,166813,Juan Sebastian,Dominguez Tacuri,ECU,21,00:10:21,00:00:38,00:28:55,00:00:32,00:17:51,46,,00:58:17
628473,167074,Joseph,Wilwerding,USA,56,00:11:38,00:00:42,00:27:15,00:00:32,00:19:06,47,,00:59:10
628473,186043,Jackson,Langley,BER,42,00:11:15,00:00:42,00:26:43,00:00:30,00:20:35,48,,00:59:43
628473,185895,Oliver,Hayward,BER,44,00:11:17,00:00:36,00:26:46,00:00:33,00:20:47,49,,00:59:57
628473,186319,Theodore,Von Geyer,CAN,34,00:11:25,00:00:43,00:27:49,00:00:36,00:19:44,50,,01:00:15
628473,167965,Victor Aurelio,Feliz Feliz,DOM,57,00:10:47,00:00:35,00:29:37,00:00:43,00:20:14,51,,01:01:54
628473,166574,Ignacio,Flores Arana,CHI,4,00:10:16,00:00:37,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
628473,181757,Livingston,Duncombe,BAH,47,00:10:25,00:00:40,00:25:56,00:00:35,00:00:00,,DNF,00:00:00
628473,186320,Jasper,Koszegi Bertrand,CAN,45,00:10:01,00:00:39,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
628473,172439,David,Ballesta Garcia,DOM,58,00:11:42,00:00:46,00:00:00,00:00:00,00:00:00,-3,LAP,00:00:00
628473,178031,Jacob,Cox,TTO,32,00:11:42,00:00:45,00:00:00,00:00:00,00:00:00,-3,LAP,00:00:00
