Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
628461,7525,Elizabeth,Bravo,ECU,6,00:20:23,00:00:36,01:00:23,00:00:39,00:35:38,1,,01:57:37
628461,158926,Luisa Daniela,Baca Vargas,MEX,38,00:20:24,00:00:37,01:00:24,00:00:36,00:35:53,2,,01:57:51
628461,111962,Sofia,Rodriguez Moreno,MEX,32,00:21:24,00:00:37,00:59:19,00:00:38,00:36:04,3,,01:58:01
628461,99067,Natalia,Casas,MEX,3,00:21:22,00:00:39,00:59:25,00:00:42,00:37:01,4,,01:59:06
628461,135626,Marcela,Alvarez Solis,MEX,37,00:20:25,00:00:34,01:00:20,00:00:33,00:37:23,5,,01:59:13
628461,21487,Romina,Biagioli,ARG,2,00:20:48,00:00:37,00:59:55,00:00:34,00:37:54,6,,01:59:46
628461,132848,Gina,Sereno,USA,1,00:20:22,00:00:41,01:00:20,00:00:52,00:37:50,7,,02:00:03
628461,112658,Daniela,Moya Chamorro,CHI,39,00:21:03,00:00:39,00:59:43,00:00:37,00:38:21,8,,02:00:20
628461,93997,Raquel,Solis Guerrero,CRC,9,00:21:20,00:00:38,00:59:24,00:00:35,00:38:34,9,,02:00:29
628461,125268,Sophia,Howell,CAN,33,00:20:17,00:00:37,00:58:44,00:00:33,00:40:23,10,,02:00:34
628461,159279,Maïra,Carreau,CAN,34,00:21:23,00:00:38,00:59:19,00:00:29,00:39:08,11,,02:00:56
628461,115483,Amber,Schlebusch,RSA,7,00:21:25,00:00:36,00:59:20,00:00:37,00:39:14,12,,02:01:10
628461,39533,Leslie,Amat Alvarez,CUB,8,00:21:13,00:00:39,00:59:28,00:00:37,00:39:39,13,,02:01:34
628461,124359,Mercedes,Romero Orozco,MEX,31,00:21:16,00:00:43,00:59:26,00:00:39,00:39:56,14,,02:01:58
628461,49803,Diana,Castillo,COL,14,00:20:21,00:00:38,01:00:25,00:00:33,00:40:20,15,,02:02:16
628461,168089,Rosa Elena,Martinez Melchor,VEN,10,00:21:19,00:00:40,00:59:22,00:00:35,00:40:40,16,,02:02:35
628461,170577,Catalina,Torres Espinoza,CRC,16,00:21:20,00:00:44,00:59:17,00:00:33,00:40:44,17,,02:02:37
628461,112651,Giovanna,Lacerda,BRA,36,00:21:20,00:00:39,00:59:24,00:00:34,00:41:18,18,,02:03:13
628461,131272,Valentina,Alvarez Valencia,COL,21,00:21:29,00:00:38,00:59:16,00:00:30,00:41:23,19,,02:03:14
628461,176099,Cara,Macdonald,CAN,46,00:20:28,00:00:41,01:00:18,00:00:34,00:42:20,20,,02:04:18
628461,55742,Macarena,Salazar,CHI,11,00:21:21,00:00:37,00:59:28,00:00:38,00:42:43,21,,02:04:44
628461,132926,Amanda,Moro,BRA,51,00:21:32,00:00:41,01:01:19,00:00:41,00:40:38,22,,02:04:50
628461,132898,Sara Melitta,Gimena Schümmelfeder,ESP,27,00:21:26,00:00:40,00:59:19,00:00:41,00:43:05,23,,02:05:09
628461,111680,Liberty,Ricca,USA,43,00:20:20,00:00:42,01:00:23,00:00:35,00:43:20,24,,02:05:18
628461,55743,Catalina,Salazar,CHI,15,00:21:35,00:00:41,01:01:15,00:00:45,00:42:17,25,,02:06:31
628461,127361,Nataliia,Kolesova,CAN,42,00:21:23,00:00:39,00:59:23,00:00:38,00:45:08,26,,02:07:10
628461,143473,Marlen Alejandra Abigail,Aguilar Bolaños,GUA,40,00:21:25,00:00:42,01:01:30,00:00:36,00:43:17,27,,02:07:28
628461,88292,Laura,Mathews,USA,24,00:21:27,00:00:47,01:01:24,00:00:54,00:44:22,28,,02:08:53
628461,123199,Camille,Buchanan,USA,48,00:21:40,00:00:41,01:01:07,00:00:38,00:45:01,29,,02:09:05
