Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
652337,124901,Angelica,Prestia,ITA,2,00:06:49,00:00:55,00:17:54,00:00:23,00:10:27,1,,00:36:30
652337,113560,Costanza,Arpinelli,ITA,5,00:06:57,00:00:55,00:17:46,00:00:23,00:10:27,2,,00:36:30
652337,136171,Bethany,Cook,GBR,11,00:06:50,00:00:56,00:17:51,00:00:23,00:10:41,3,,00:36:43
652337,125627,Tanja,Neubert,GER,1,00:06:53,00:00:54,00:17:51,00:00:27,00:10:43,4,,00:36:49
652337,104244,Francesca,Crestani,ITA,10,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,5,,00:36:54
652337,17670,Sara,Vilic,AUT,8,00:06:42,00:00:56,00:18:00,00:00:25,00:11:05,6,,00:37:10
652337,158770,Tabea,Huys,AUT,14,00:06:48,00:00:59,00:17:50,00:00:29,00:11:04,7,,00:37:11
652337,125003,Rebecca,Beti,SUI,7,00:06:59,00:00:55,00:17:43,00:00:25,00:11:09,8,,00:37:14
652337,64952,Emma,Jeffcoat,AUS,3,00:06:41,00:01:05,00:17:52,00:00:25,00:11:28,9,,00:37:32
652337,168232,Jamie,Harker,CAN,17,00:06:49,00:01:00,00:17:47,00:00:24,00:11:32,10,,00:37:34
652337,176099,Cara,Macdonald,CAN,16,00:06:48,00:01:00,00:17:52,00:00:27,00:11:27,11,,00:37:35
652337,144059,Tara,Sosinski,AUS,4,00:06:48,00:01:08,00:18:50,00:00:23,00:10:23,12,,00:37:35
652337,165330,Olivia,Ebenstein,USA,22,00:06:50,00:00:59,00:17:51,00:00:26,00:11:29,13,,00:37:36
652337,116273,Dominika,Peszleg,HUN,12,00:06:53,00:01:07,00:18:47,00:00:24,00:10:27,14,,00:37:39
652337,115022,Anja,Weber,SUI,6,00:06:46,00:01:00,00:17:52,00:00:26,00:11:36,15,,00:37:42
652337,158817,Livia,Gross,SUI,20,00:07:14,00:01:04,00:18:28,00:00:27,00:10:33,16,,00:37:48
652337,141644,Sam,McInnes,GBR,21,00:07:12,00:01:04,00:18:29,00:00:23,00:10:55,17,,00:38:06
652337,158366,Alice,Riebler,ITA,18,00:07:11,00:01:02,00:18:55,00:00:26,00:10:57,18,,00:38:34
652337,124520,Heidi,Juránková,CZE,9,00:06:56,00:00:57,00:18:52,00:00:26,00:11:34,19,,00:38:48
652337,159181,Clara,Carlquist,DEN,15,00:06:56,00:01:00,00:19:14,00:00:25,00:11:13,20,,00:38:49
652337,151987,Nathalie,Zwicky,SUI,24,00:07:19,00:00:59,00:18:28,00:00:24,00:11:55,21,,00:39:09
652337,95518,Isabel,Sterr,GER,19,00:07:20,00:00:00,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
652337,127262,Stefanie,Walter,GER,25,00:07:07,00:01:08,00:20:40,00:00:26,00:00:00,,DNF,00:00:00
