Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
650871,84871,Anabel,Knoll,GER,1,00:05:25,00:01:08,00:11:36,00:00:40,00:06:11,1,,00:25:00
650871,135389,Franka,Rust,GER,9,00:05:46,00:01:08,00:11:14,00:00:44,00:06:11,2,,00:25:03
650871,137276,Julia,Bröcker,GER,3,00:05:32,00:01:09,00:11:27,00:00:43,00:06:18,3,,00:25:09
650871,135673,Luna,De Bruin,NED,25,00:05:30,00:01:12,00:11:26,00:00:45,00:06:23,4,,00:25:16
650871,64903,Tjasa,Vrtacic,SLO,7,00:05:29,00:01:14,00:11:25,00:00:39,00:06:30,5,,00:25:17
650871,106357,Magdalena,Sudak,POL,14,00:05:33,00:01:07,00:11:29,00:00:44,00:06:27,6,,00:25:20
650871,127356,Annabel,Morton,GBR,6,00:05:37,00:01:08,00:11:48,00:00:45,00:06:04,7,,00:25:22
650871,23545,Alessia,Orla,TRI,19,00:05:31,00:01:10,00:11:28,00:00:45,00:06:29,8,,00:25:23
650871,161236,Leann,Dietzel,GER,10,00:05:41,00:01:06,00:11:44,00:00:41,00:06:21,9,,00:25:33
650871,115103,Chiara,Lobba,ITA,30,00:05:36,00:01:09,00:11:47,00:00:44,00:06:19,10,,00:25:35
650871,115545,Asia,Mercatelli,ITA,8,00:05:39,00:01:10,00:11:44,00:00:42,00:06:23,11,,00:25:38
650871,137273,Jule,Behrens,GER,4,00:05:51,00:01:09,00:11:41,00:00:46,00:06:15,12,,00:25:42
650871,136171,Bethany,Cook,GBR,2,00:05:35,00:01:10,00:11:48,00:00:45,00:06:26,13,,00:25:44
650871,149873,Aleksandra,Ferchmin,POL,16,00:05:53,00:01:09,00:11:38,00:00:46,00:06:19,14,,00:25:45
650871,135034,Józefina,Młynarska,POL,24,00:05:51,00:01:10,00:11:39,00:00:45,00:06:22,15,,00:25:47
650871,135532,Isla,Britton,CAN,11,00:05:50,00:01:13,00:11:39,00:00:46,00:06:22,16,,00:25:50
650871,150487,Josephine,Seerig,GER,17,00:05:35,00:01:13,00:11:45,00:00:43,00:06:35,17,,00:25:51
650871,128034,Joanna,Woźniak,POL,20,00:05:50,00:01:13,00:11:40,00:00:56,00:06:13,18,,00:25:52
650871,151992,Finja,Schierl,GER,5,00:05:33,00:01:10,00:11:49,00:00:43,00:06:39,19,,00:25:54
650871,110579,Iona,Miller,GBR,12,00:05:32,00:01:13,00:11:49,00:00:46,00:06:35,20,,00:25:55
650871,104244,Francesca,Crestani,ITA,15,00:05:53,00:01:11,00:11:37,00:00:43,00:06:34,21,,00:25:58
650871,135764,Nele,Dequae,BEL,27,00:05:50,00:01:08,00:11:43,00:00:45,00:06:38,22,,00:26:04
650871,158203,Borbála,Sarcia,HUN,21,00:05:40,00:01:12,00:11:49,00:00:50,00:06:34,23,,00:26:05
650871,130014,Lara Thekla,Ungewickell,GER,23,00:05:49,00:01:13,00:11:38,00:00:45,00:06:42,24,,00:26:07
650871,180851,Martyna,Gajda,POL,26,00:05:49,00:01:13,00:11:39,00:00:47,00:06:41,25,,00:26:09
650871,159181,Clara,Carlquist,DEN,29,00:05:44,00:01:13,00:11:45,00:00:45,00:06:48,26,,00:26:15
650871,135041,Weronika,Ptaszyńska,POL,28,00:05:53,00:01:10,00:11:37,00:00:44,00:06:56,27,,00:26:20
650871,149442,Hasse,Fleerackers,BEL,22,00:05:47,00:01:17,00:11:38,00:00:46,00:06:54,28,,00:26:22
650871,168232,Jamie,Harker,CAN,18,00:05:35,00:01:13,00:11:44,00:00:45,00:07:10,29,,00:26:27
650871,158590,Nicole,Bauer,AUT,31,00:05:51,00:01:09,00:11:41,00:01:24,00:07:05,30,,00:27:10
