Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
633611,166741,María,López Faraudo,MEX,94,00:10:13,00:02:05,00:32:05,00:00:36,00:17:21,1,,01:02:23
633611,25176,Cecilia,Perez,MEX,85,00:09:39,00:02:14,00:31:51,00:00:36,00:18:02,2,,01:02:24
633611,124359,Mercedes,Romero Orozco,MEX,82,00:09:40,00:02:13,00:31:51,00:00:38,00:18:23,3,,01:02:48
633611,186318,Danielle,Orie,USA,116,00:09:30,00:02:29,00:32:33,00:00:40,00:17:37,4,,01:02:51
633611,124609,Ana Maria Valentina,Torres Gomez,MEX,83,00:10:00,00:02:14,00:32:16,00:00:40,00:17:54,5,,01:03:06
633611,99067,Natalia,Casas,MEX,81,00:10:09,00:02:26,00:31:52,00:00:35,00:18:11,6,,01:03:14
633611,142820,Naomi,Ruff,USA,92,00:09:45,00:02:25,00:32:21,00:00:36,00:18:10,7,,01:03:19
633611,113388,Colette,Reimer,CAN,88,00:10:13,00:02:23,00:31:52,00:00:38,00:18:23,8,,01:03:31
633611,132421,Anahi,Alvarez Corral,MEX,84,00:10:33,00:02:04,00:33:26,00:00:33,00:17:10,9,,01:03:48
633611,135626,Marcela,Alvarez Solis,MEX,86,00:09:40,00:02:21,00:32:23,00:00:36,00:18:56,10,,01:03:58
633611,143473,Marlen Alejandra Abigail,Aguilar Bolaños,GUA,89,00:10:01,00:02:24,00:32:05,00:00:43,00:18:47,11,,01:04:03
633611,159822,Madisen,Lavin,USA,101,00:09:30,00:02:28,00:32:30,00:00:44,00:19:16,12,,01:04:31
633611,165195,Jimena Renata,De La Peña Schott,TRI,87,00:09:58,00:02:31,00:31:58,00:00:42,00:19:40,13,,01:04:51
633611,111680,Liberty,Ricca,USA,90,00:09:31,00:02:25,00:32:31,00:00:41,00:19:45,14,,01:04:55
633611,177162,Chelsea,Webber,USA,114,00:09:42,00:02:26,00:32:22,00:00:52,00:19:42,15,,01:05:05
633611,175731,Camila Victoria,Alcala Rosales,HON,99,00:10:12,00:02:20,00:31:57,00:00:45,00:19:59,16,,01:05:15
633611,115305,Maria Fernanda,Salazar Hernandez,MEX,96,00:10:30,00:02:19,00:33:16,00:00:37,00:18:46,17,,01:05:29
633611,80449,Karla Patricia,Ruiz Gaona,MEX,91,00:10:09,00:02:24,00:31:50,00:00:36,00:20:44,18,,01:05:45
633611,175732,Julia Maria,Alcala Rosales,HON,103,00:10:12,00:02:17,00:31:57,00:00:38,00:21:00,19,,01:06:05
633611,128224,Lizeth,Lopez Ortega,MEX,93,00:10:28,00:02:23,00:33:13,00:00:38,00:19:53,20,,01:06:36
633611,180879,Victoria,Medina Quintero,MEX,118,00:10:33,00:02:18,00:33:13,00:00:38,00:20:22,21,,01:07:05
633611,178092,Ixchel,Camacho Álcantara,MEX,102,00:10:10,00:02:28,00:33:27,00:00:39,00:20:23,22,,01:07:09
633611,186282,Rebeca Sofia,Rivero Franco,MEX,108,00:10:12,00:02:20,00:33:30,00:00:38,00:20:33,23,,01:07:14
633611,181701,Valerie Tatiana,Hernandez,COL,100,00:10:11,00:02:31,00:34:08,00:00:41,00:20:52,24,,01:08:25
633611,171739,Paola Judith,Zarate Leon,MEX,110,00:10:14,00:02:30,00:34:06,00:00:40,00:21:05,25,,01:08:37
633611,123199,Camille,Buchanan,USA,104,00:10:00,00:02:37,00:34:11,00:00:42,00:21:22,26,,01:08:53
633611,166515,Maria,García Rábago,MEX,111,00:10:16,00:02:32,00:35:01,00:00:46,00:20:53,27,,01:09:30
633611,161462,Selene,Martinez Avila,MEX,119,00:10:55,00:02:41,00:36:29,00:00:43,00:18:43,28,,01:09:32
633611,179350,Isabella,Carreras Bayardo,MEX,105,00:10:11,00:02:33,00:35:02,00:00:39,00:21:24,29,,01:09:52
633611,186286,Natalia,Cortés Gonzalez,MEX,107,00:10:09,00:02:31,00:34:09,00:00:45,00:22:26,30,,01:10:03
633611,162899,Sarah,Plant,USA,124,00:10:17,00:02:46,00:34:46,00:00:47,00:21:51,31,,01:10:29
633611,178074,Leah,Amezcua Herrera,MEX,113,00:10:28,00:02:40,00:34:40,00:00:41,00:22:39,32,,01:11:10
633611,167159,Emilia,Martinez Mendivil,MEX,120,00:12:09,00:02:25,00:36:36,00:00:38,00:19:30,33,,01:11:20
633611,180037,Regina,Michel Camacho,MEX,123,00:11:27,00:02:28,00:36:07,00:00:41,00:21:05,34,,01:11:50
633611,188624,Fanny Carolina,Tenorio Murillo,MEX,125,00:10:30,00:02:40,00:36:56,00:00:40,00:21:49,35,,01:12:37
633611,186281,Cinthia,López Ortega,MEX,109,00:10:34,00:02:39,00:37:33,00:00:43,00:23:14,36,,01:14:44
633611,187858,Luciana,Ruiz Serrano,MEX,127,00:10:35,00:02:52,00:37:44,00:00:43,00:26:04,37,,01:18:01
633611,186512,Daira Tais,Mercado Fong,MEX,117,00:10:54,00:02:53,00:40:37,00:00:45,00:23:58,38,,01:19:09
633611,72251,Daniela,García Vélez,MEX,106,00:09:44,00:02:38,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
633611,159144,María Concepción,Cruz Martínez,MEX,112,00:10:21,00:02:24,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
633611,188032,Penelope Gabriela,Urias Trujillo,MEX,126,00:10:08,00:02:36,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
633611,188855,Ximena,García González,MEX,122,00:10:53,00:02:49,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
