Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
582002,144208,Mathis,Beaulieu,CAN,6,00:09:03,00:00:28,00:25:28,00:00:31,00:15:30,1,,00:50:58
582002,164894,John,Reed,USA,4,00:08:46,00:00:24,00:25:49,00:00:36,00:15:40,2,,00:51:13
582002,171623,Ka'eo,Kruse,USA,12,00:08:53,00:00:24,00:25:41,00:00:31,00:15:49,3,,00:51:17
582002,149968,Benedikt,Bettin,GER,8,00:08:26,00:00:25,00:26:05,00:00:28,00:16:08,4,,00:51:30
582002,103075,Aiden,Longcroft-Harris,CAN,3,00:08:22,00:00:25,00:26:10,00:00:27,00:16:10,5,,00:51:31
582002,124067,Marcin,Stanglewicz,POL,2,00:08:58,00:00:28,00:25:32,00:00:27,00:16:19,6,,00:51:42
582002,124579,Dylan Didier,Campa Carranza,MEX,14,00:08:49,00:00:30,00:25:38,00:00:30,00:16:22,7,,00:51:47
582002,123192,Andrew,Shellenberger,USA,11,00:08:59,00:00:26,00:25:33,00:00:28,00:16:26,8,,00:51:51
582002,103433,Filip,Mainville,CAN,5,00:08:51,00:00:27,00:25:38,00:00:28,00:16:51,9,,00:52:13
582002,172264,Hayden,Woodrow,CAN,56,00:08:24,00:00:25,00:26:11,00:00:28,00:16:53,10,,00:52:19
582002,90737,Hugo Mario,Ruiz Dimate,COL,17,00:09:09,00:00:23,00:26:20,00:00:28,00:16:06,11,,00:52:23
582002,127291,Nicolas,Harvey,CAN,19,00:08:57,00:00:27,00:25:32,00:00:25,00:17:13,12,,00:52:32
582002,160238,Griff,Morgan,USA,16,00:08:23,00:00:24,00:26:10,00:00:29,00:17:27,13,,00:52:51
582002,161443,Adoh,Doherty,USA,32,00:09:21,00:00:26,00:25:34,00:00:29,00:17:17,14,,00:53:05
582002,123188,Nicholas,Holmes,USA,7,00:09:44,00:00:27,00:25:43,00:00:27,00:16:48,15,,00:53:06
582002,140490,Alejandro,Dominguez Romero,PER,44,00:09:16,00:00:26,00:26:13,00:00:28,00:16:53,16,,00:53:15
582002,46216,Flavio,Morandini,ARG,23,00:09:00,00:00:26,00:25:27,00:00:30,00:17:56,17,,00:53:16
582002,162696,Alexandre,Leblanc,CAN,26,00:09:33,00:00:29,00:25:54,00:00:37,00:16:46,18,,00:53:17
582002,111932,Zed,Roy,CAN,30,00:09:40,00:00:28,00:25:46,00:00:36,00:17:01,19,,00:53:29
582002,168754,Matthew,McGoey,USA,41,00:09:24,00:00:25,00:26:05,00:00:32,00:17:08,20,,00:53:33
582002,143308,William,Nolet,CAN,27,00:09:34,00:00:26,00:25:52,00:00:26,00:17:23,21,,00:53:38
582002,137121,Luis,Steiert,GER,53,00:09:22,00:00:25,00:25:33,00:00:32,00:17:54,22,,00:53:44
582002,160052,Humberto,Castañeiras Jenner,MEX,31,00:09:08,00:00:36,00:26:12,00:00:33,00:17:38,23,,00:54:05
582002,158872,Brian Omar,Orozco,MEX,49,00:09:08,00:00:30,00:26:16,00:00:29,00:17:50,24,,00:54:11
582002,143835,Louis,Marchand,CAN,39,00:09:19,00:00:27,00:26:10,00:00:36,00:17:46,25,,00:54:16
582002,143488,Daniel,Gossow,USA,34,00:09:25,00:00:26,00:25:33,00:00:31,00:18:27,26,,00:54:19
582002,139574,Valentino,Agnelli,ARG,33,00:09:15,00:00:24,00:25:40,00:00:32,00:18:34,27,,00:54:23
582002,143539,Nathan,Grondin,CAN,37,00:09:20,00:00:27,00:26:09,00:00:32,00:18:13,28,,00:54:38
582002,175018,Brad,Murray,USA,48,00:09:43,00:00:26,00:25:46,00:00:44,00:18:09,29,,00:54:47
582002,172835,Xoel,Rodriguez Abad,ESP,58,00:09:39,00:00:27,00:26:40,00:00:32,00:17:45,30,,00:55:00
582002,114052,Niall,Caley,GBR,46,00:09:02,00:00:26,00:26:27,00:00:31,00:18:42,31,,00:55:07
582002,165246,Loic,Poulin-Desjardins,CAN,50,00:09:47,00:00:26,00:25:42,00:00:40,00:18:36,32,,00:55:09
