Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
628460,123392,Morgan,Pearson,USA,8,00:18:17,00:00:35,00:52:47,00:00:33,00:31:29,1,,01:43:39
628460,80663,Darr,Smith,USA,10,00:18:13,00:00:36,00:52:50,00:00:30,00:31:48,2,,01:43:54
628460,164894,John,Reed,USA,41,00:18:17,00:00:34,00:52:48,00:00:33,00:32:02,3,,01:44:11
628460,115502,Brock,Hoel,CAN,42,00:18:11,00:00:34,00:52:52,00:00:30,00:32:39,4,,01:44:45
628460,96667,Chase,McQueen,USA,11,00:18:12,00:00:35,00:52:52,00:00:31,00:33:26,5,,01:45:33
628460,93402,Martin,Sobey,CAN,1,00:19:12,00:00:35,00:53:18,00:00:32,00:32:07,6,,01:45:43
628460,56027,Diego,Moya,CHI,4,00:18:20,00:00:37,00:54:06,00:00:36,00:32:11,7,,01:45:48
628460,125038,Antonio,Bravo Neto,BRA,16,00:18:44,00:00:35,00:53:48,00:00:33,00:32:11,8,,01:45:49
628460,7167,Gaspar,Riveros,CHI,14,00:18:37,00:00:37,00:53:50,00:00:34,00:32:55,9,,01:46:31
628460,79730,Tyler,Smith,BER,6,00:19:07,00:00:36,00:53:22,00:00:44,00:32:50,10,,01:46:36
628460,171947,Sullivan,Middaugh,USA,67,00:20:01,00:00:37,00:52:23,00:00:30,00:33:21,11,,01:46:51
628460,7503,Crisanto,Grajales,MEX,9,00:19:15,00:00:38,00:54:51,00:00:29,00:31:48,12,,01:46:59
628460,123192,Andrew,Shellenberger,USA,50,00:18:14,00:00:34,00:52:51,00:00:29,00:35:03,13,,01:47:09
628460,124579,Dylan Didier,Campa Carranza,MEX,26,00:18:19,00:00:36,00:54:08,00:00:34,00:34:00,14,,01:47:36
628460,123188,Nicholas,Holmes,USA,48,00:19:52,00:00:32,00:54:20,00:00:28,00:32:35,15,,01:47:46
628460,132948,Andree,Buc,CHI,49,00:19:35,00:00:39,00:54:31,00:00:31,00:32:34,16,,01:47:49
628460,32501,Brian,Moya,COL,23,00:19:28,00:00:35,00:54:27,00:00:30,00:33:02,17,,01:48:00
628460,108438,Jesus Gildardo,Espiritu,MEX,3,00:19:09,00:00:38,00:54:59,00:00:33,00:32:45,18,,01:48:03
628460,162964,Yael Vladimir,González Melendez,MEX,62,00:18:30,00:00:36,00:53:58,00:00:32,00:34:46,19,,01:48:20
628460,39560,Juan Jose,Andrade Figueroa,ECU,12,00:18:25,00:00:33,00:54:08,00:00:34,00:34:42,20,,01:48:20
