Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
631888,161766,Yeva,Soroka,UKR,9,00:10:47,00:01:07,00:33:04,00:00:27,00:17:48,1,,01:03:13
631888,158318,Sonja,De Koning,NED,2,00:10:33,00:01:09,00:33:17,00:00:33,00:18:39,2,,01:04:11
631888,160569,Liis,Kapten,EST,3,00:10:35,00:01:12,00:33:15,00:00:28,00:18:52,3,,01:04:22
631888,170038,Beate,Jansone,LAT,5,00:10:28,00:01:15,00:33:18,00:00:32,00:19:06,4,,01:04:39
631888,180851,Martyna,Gajda,POL,17,00:10:27,00:01:13,00:33:18,00:00:28,00:19:25,5,,01:04:51
631888,170123,Mürya,Karayel,TUR,12,00:10:29,00:01:15,00:33:18,00:00:35,00:19:23,6,,01:05:00
631888,136359,Pauline,Courret,HKG,1,00:10:36,00:01:13,00:33:15,00:00:33,00:19:32,7,,01:05:09
631888,175617,Dana,Soroka,UKR,10,00:10:31,00:01:18,00:33:11,00:00:29,00:19:53,8,,01:05:22
631888,187256,Hanna,Foltyniewicz,POL,16,00:11:22,00:01:20,00:34:37,00:00:31,00:17:49,9,,01:05:39
631888,161424,Elena,Bitzi,SUI,24,00:10:39,00:01:13,00:33:09,00:00:32,00:20:59,10,,01:06:32
631888,169586,Joanna,Pietruszyńska,POL,26,00:10:47,00:01:15,00:35:12,00:00:31,00:19:05,11,,01:06:50
631888,173335,Ann,Grossenbacher,SUI,27,00:10:34,00:01:18,00:35:32,00:00:38,00:19:00,12,,01:07:02
631888,179337,Zóra,Filep,HUN,22,00:10:35,00:01:19,00:33:14,00:00:36,00:21:19,13,,01:07:03
631888,166211,Etriin,Etverk,EST,6,00:10:40,00:01:07,00:33:16,00:00:30,00:21:39,14,,01:07:12
631888,182221,Julia,Sikora,POL,19,00:11:11,00:01:18,00:34:52,00:00:34,00:19:20,15,,01:07:15
631888,181769,Cemre,Civelek,TUR,14,00:11:01,00:01:18,00:35:02,00:00:33,00:19:39,16,,01:07:33
631888,158526,Sára,Lehmann,HUN,25,00:10:52,00:01:26,00:35:05,00:00:35,00:20:30,17,,01:08:28
631888,160609,Irmak,Şereflioğlu,TUR,11,00:11:15,00:01:19,00:37:04,00:00:31,00:18:28,18,,01:08:37
631888,166212,Mirtel-Madlen,Siimar,EST,7,00:10:47,00:01:23,00:35:10,00:00:32,00:21:43,19,,01:09:35
631888,168030,Ula,Sijaviciute,LTU,8,00:10:39,00:01:20,00:35:23,00:00:39,00:22:05,20,,01:10:06
631888,158735,Karolina,Szalast,POL,23,00:10:31,00:00:00,00:00:00,00:00:00,00:00:00,21,,01:11:05
631888,170863,Amelia,Górska,POL,20,00:11:27,00:01:16,00:36:47,00:00:33,00:22:24,22,,01:12:27
631888,179338,Hanna,Bartók,HUN,21,00:11:22,00:01:21,00:37:12,00:00:38,00:22:01,23,,01:12:34
631888,161461,Beāte,Bula,LAT,4,00:10:37,00:01:23,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
631888,178043,Aleksandra,Duban,POL,15,00:10:41,00:01:17,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
631888,170008,Zofia,Rosin,POL,18,00:10:54,00:01:17,00:35:09,00:00:32,00:00:00,,DNF,00:00:00
631888,188656,Olga,Sawicka,POL,28,00:12:38,00:01:21,00:00:00,00:00:00,00:00:00,-3,LAP,00:00:00
