Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
582073,68698,Katie,Zaferes,USA,5,00:09:46,00:00:40,00:31:35,00:00:39,00:17:28,1,,01:00:08
582073,40887,Gwen,Jorgensen,USA,21,00:10:08,00:00:45,00:32:20,00:00:37,00:17:07,2,,01:00:58
582073,39382,Amelie,Kretz,CAN,4,00:10:09,00:00:39,00:32:24,00:00:34,00:17:44,3,,01:01:31
582073,39381,Dominika,Jamnicky,CAN,1,00:10:45,00:00:38,00:31:51,00:00:36,00:18:15,4,,01:02:05
582073,80082,Erica,Hawley,BER,7,00:10:23,00:00:38,00:32:13,00:00:36,00:18:22,5,,01:02:13
582073,115050,Ekaterina,Shabalina,KAZ,2,00:10:25,00:00:43,00:32:07,00:00:36,00:18:28,6,,01:02:19
582073,99067,Natalia,Casas,MEX,6,00:10:44,00:00:41,00:32:42,00:00:35,00:17:57,7,,01:02:40
582073,136171,Bethany,Cook,GBR,23,00:10:27,00:00:41,00:32:09,00:00:34,00:19:07,8,,01:02:57
582073,115483,Amber,Schlebusch,RSA,12,00:10:42,00:00:42,00:32:40,00:00:36,00:18:22,9,,01:03:02
582073,143774,Gabrielle,Lumkes,USA,8,00:10:30,00:01:02,00:31:44,00:00:40,00:20:00,10,,01:03:56
582073,125268,Sophia,Howell,CAN,9,00:10:11,00:00:40,00:32:24,00:00:38,00:20:17,11,,01:04:09
582073,141644,Sam,McInnes,GBR,42,00:10:46,00:00:47,00:32:33,00:00:35,00:19:34,12,,01:04:15
582073,110519,Kamille,Larocque,CAN,15,00:10:30,00:00:41,00:32:55,00:00:39,00:19:34,13,,01:04:20
582073,159279,Maïra,Carreau,CAN,14,00:10:25,00:00:43,00:32:58,00:00:34,00:19:55,14,,01:04:36
582073,165926,Lydia,Russell,USA,10,00:10:57,00:00:56,00:33:22,00:00:38,00:18:44,15,,01:04:38
582073,142813,Faith,Dasso,USA,19,00:10:31,00:00:40,00:32:04,00:00:34,00:20:51,16,,01:04:41
582073,124520,Heidi,Juránková,CZE,18,00:10:43,00:00:43,00:32:40,00:00:35,00:20:27,17,,01:05:08
582073,113388,Colette,Reimer,CAN,11,00:11:14,00:00:44,00:33:16,00:00:34,00:19:54,18,,01:05:42
582073,135532,Isla,Britton,CAN,30,00:11:23,00:00:43,00:33:09,00:00:41,00:20:03,19,,01:05:58
582073,167043,Michelle,Stratton,USA,20,00:10:44,00:00:50,00:33:43,00:00:38,00:20:11,20,,01:06:05
582073,175113,Alexandra,Campbell,CAN,32,00:11:04,00:00:42,00:33:29,00:00:35,00:20:21,21,,01:06:11
582073,159400,Heidi,Henry,CAN,37,00:10:44,00:00:48,00:32:36,00:00:36,00:21:34,22,,01:06:18
582073,123199,Camille,Buchanan,USA,26,00:10:38,00:00:47,00:33:51,00:00:41,00:20:28,23,,01:06:25
582073,132028,Freya,McKinley,USA,25,00:10:59,00:00:42,00:33:33,00:00:34,00:20:56,24,,01:06:43
582073,176716,Michelle,Magnani,USA,43,00:10:48,00:00:49,00:33:36,00:00:35,00:21:05,25,,01:06:53
582073,143348,Molly,Lakustiak,CAN,39,00:11:08,00:00:40,00:33:28,00:00:35,00:21:17,26,,01:07:08
582073,176099,Cara,Macdonald,CAN,44,00:10:28,00:00:49,00:34:00,00:00:41,00:21:20,27,,01:07:18
582073,136298,Clara,Normand,CAN,22,00:11:17,00:00:40,00:33:17,00:00:35,00:21:33,28,,01:07:23
582073,165330,Olivia,Ebenstein,USA,51,00:10:46,00:00:40,00:33:51,00:00:35,00:21:53,29,,01:07:45
582073,142820,Naomi,Ruff,USA,27,00:10:44,00:00:44,00:35:44,00:00:40,00:20:03,30,,01:07:55
582073,175729,Shannon,Feran,USA,52,00:10:46,00:00:50,00:33:52,00:00:41,00:21:53,31,,01:08:01
582073,140765,Maite,Kuestner,GER,24,00:11:06,00:00:51,00:35:10,00:00:32,00:20:32,32,,01:08:10
582073,132505,Kayla,Ribbink,RSA,28,00:10:47,00:00:45,00:35:38,00:00:37,00:20:47,33,,01:08:34
582073,111680,Liberty,Ricca,USA,16,00:10:07,00:00:44,00:36:19,00:00:35,00:21:07,34,,01:08:52
