Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
582011,142828,Luke,Anthony,USA,5,00:09:40,00:00:23,00:26:08,00:00:27,00:15:46,1,,00:52:22
582011,171949,Leandre,Binette,CAN,11,00:09:09,00:00:23,00:26:40,00:00:28,00:16:29,2,,00:53:06
582011,171947,Sullivan,Middaugh,USA,3,00:09:57,00:00:26,00:25:49,00:00:30,00:16:38,3,,00:53:17
582011,175528,Carter,Stuhlmacher,USA,23,00:08:51,00:00:28,00:27:00,00:00:29,00:16:42,4,,00:53:26
582011,143420,Blake,Harris,CAN,4,00:09:14,00:00:24,00:26:35,00:00:30,00:17:17,5,,00:53:57
582011,169738,Angel Yael,Yépez Meza,MEX,51,00:09:40,00:00:22,00:26:14,00:00:27,00:17:30,6,,00:54:10
582011,143171,Sage,Sulentic,CAN,8,00:09:12,00:00:25,00:26:37,00:00:32,00:17:55,7,,00:54:39
582011,162549,Reese,Vannerson,USA,1,00:09:16,00:00:21,00:26:36,00:00:29,00:18:01,8,,00:54:41
582011,166528,Dante Jesus,Orozco Espinoza,MEX,16,00:09:14,00:00:25,00:26:37,00:00:28,00:18:05,9,,00:54:46
582011,165290,Cole,Jamieson ,USA,9,00:09:06,00:00:25,00:26:38,00:00:28,00:18:19,10,,00:54:54
582011,174546,Matteo,Tonnos,CAN,26,00:10:05,00:00:28,00:26:57,00:00:28,00:17:03,11,,00:54:58
582011,165090,Henry,Bristol,CAN,44,00:09:33,00:00:34,00:27:19,00:00:28,00:17:18,12,,00:55:09
582011,175112,Daniel,Epp,CAN,35,00:10:00,00:00:24,00:27:06,00:00:38,00:17:06,13,,00:55:11
582011,165288,Eli,McWard,USA,30,00:09:39,00:00:26,00:26:07,00:00:36,00:18:28,14,,00:55:14
582011,166519,Rodrigo,Pacheco Gajá,MEX,6,00:10:02,00:00:23,00:26:59,00:00:33,00:17:21,15,,00:55:15
582011,165295,Jake,Adler,USA,45,00:09:44,00:00:24,00:26:04,00:00:28,00:18:40,16,,00:55:17
582011,142829,Ben,Capozzi,USA,42,00:09:45,00:00:34,00:25:58,00:00:37,00:18:35,17,,00:55:26
582011,165305,Carson,Vanderschaaf,USA,54,00:09:51,00:00:26,00:27:14,00:00:31,00:17:28,18,,00:55:27
582011,165309,Julian,Barre,USA,46,00:09:10,00:00:26,00:26:39,00:00:32,00:18:50,19,,00:55:34
582011,175530,Isaac,Lamprecht,USA,32,00:09:49,00:00:27,00:27:14,00:00:33,00:17:42,20,,00:55:41
582011,175309,Isaac,Lapointe,CAN,31,00:09:55,00:00:24,00:25:55,00:00:37,00:18:57,21,,00:55:45
582011,165296,Jaxon,Plumb,USA,29,00:09:42,00:00:23,00:27:22,00:00:33,00:17:53,22,,00:55:50
582011,175532,Charlie,Smoak,USA,22,00:10:11,00:00:31,00:26:46,00:00:32,00:18:12,23,,00:56:08
582011,165040,Dillon,Longo,CAN,14,00:09:34,00:00:27,00:26:15,00:00:33,00:19:32,24,,00:56:18
582011,165314,Augusto,Caceres,TRI,47,00:10:04,00:00:29,00:26:53,00:00:32,00:18:30,25,,00:56:25
582011,165310,Nathaniel,Mckillop,USA,18,00:09:49,00:00:26,00:27:16,00:00:32,00:18:38,26,,00:56:38
582011,175197,Leo,Savoie,CAN,20,00:09:56,00:00:25,00:27:08,00:00:30,00:19:01,27,,00:56:57
582011,165298,Noah,Peterson,USA,28,00:10:00,00:00:25,00:27:05,00:00:29,00:19:01,28,,00:56:57
582011,156590,Samuel,Zuluaga Cardona,COL,10,00:10:20,00:00:22,00:26:42,00:00:28,00:19:25,29,,00:57:13
582011,165307,Evan,Mahrous,USA,12,00:09:05,00:00:23,00:28:05,00:00:33,00:19:13,30,,00:57:15
582011,175308,Laurent,Tétreault,CAN,53,00:10:03,00:00:23,00:27:02,00:00:30,00:19:22,31,,00:57:18
582011,166497,Vorawuth,Pattrakulchai,THA,27,00:10:05,00:00:24,00:26:55,00:00:35,00:19:37,32,,00:57:33
582011,175677,Diego,Ladera Querales,PER,33,00:10:00,00:00:25,00:27:05,00:00:35,00:19:58,33,,00:58:00
582011,175429,David,Sanchez Cabral,MEX,19,00:09:38,00:00:28,00:27:25,00:00:38,00:20:06,34,,00:58:12
582011,162709,Oleksii,Kolesov,CAN,15,00:09:20,00:00:25,00:27:45,00:00:31,00:20:25,35,,00:58:23
