Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
652340,125627,Tanja,Neubert,GER,7,00:06:56,00:00:54,00:17:16,00:00:25,00:09:49,1,,00:35:23
652340,125003,Rebecca,Beti,SUI,16,00:07:02,00:00:52,00:17:16,00:00:25,00:09:57,2,,00:35:33
652340,84871,Anabel,Knoll,GER,2,00:06:48,00:00:54,00:17:26,00:00:22,00:10:02,3,,00:35:34
652340,93409,Desirae,Ridenour,CAN,6,00:06:56,00:00:51,00:17:22,00:00:22,00:10:06,4,,00:35:39
652340,123536,Brea,Roderick,NZL,4,00:06:48,00:00:53,00:17:26,00:00:25,00:10:05,5,,00:35:39
652340,113560,Costanza,Arpinelli,ITA,3,00:07:04,00:00:51,00:17:14,00:00:25,00:10:06,6,,00:35:42
652340,136171,Bethany,Cook,GBR,5,00:06:39,00:00:51,00:17:40,00:00:23,00:10:11,7,,00:35:47
652340,136130,Adelaide Anna,Badini Confalonieri,ITA,20,00:06:54,00:00:54,00:17:19,00:00:24,00:10:20,8,,00:35:53
652340,135532,Isla,Britton,CAN,8,00:07:03,00:00:49,00:17:17,00:00:26,00:10:18,9,,00:35:56
652340,144059,Tara,Sosinski,AUS,25,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,10,,00:35:57
652340,111232,Celia,Merle,FRA,17,00:06:41,00:00:50,00:17:39,00:00:24,00:10:35,11,,00:36:10
652340,128157,Livia,Wespe,SUI,24,00:06:58,00:00:51,00:17:22,00:00:28,00:10:35,12,,00:36:16
652340,104244,Francesca,Crestani,ITA,9,00:06:54,00:00:52,00:17:22,00:00:26,00:10:46,13,,00:36:23
652340,64952,Emma,Jeffcoat,AUS,19,00:06:38,00:00:57,00:17:32,00:00:26,00:10:50,14,,00:36:25
652340,127928,Myral,Greco,ITA,12,00:06:59,00:00:52,00:17:19,00:00:23,00:10:53,15,,00:36:28
652340,161245,Carina,Reicht,AUT,10,00:07:13,00:00:51,00:18:11,00:00:25,00:09:49,16,,00:36:32
652340,158770,Tabea,Huys,AUT,14,00:06:51,00:00:56,00:17:24,00:00:27,00:10:56,17,,00:36:36
652340,115022,Anja,Weber,SUI,30,00:06:55,00:00:56,00:17:17,00:00:27,00:11:02,18,,00:36:39
652340,124901,Angelica,Prestia,ITA,1,00:06:53,00:00:55,00:17:57,00:00:24,00:10:38,19,,00:36:49
652340,135436,Letizia,Martinelli,SUI,29,00:07:04,00:00:58,00:18:14,00:00:24,00:10:16,20,,00:36:57
652340,158817,Livia,Gross,SUI,31,00:07:18,00:00:55,00:18:04,00:00:27,00:10:17,21,,00:37:02
652340,158274,Paola,Sacchi,ITA,15,00:07:09,00:01:00,00:18:06,00:00:26,00:10:23,22,,00:37:06
652340,168232,Jamie,Harker,CAN,21,00:06:53,00:00:57,00:17:19,00:00:22,00:11:37,23,,00:37:09
652340,123501,Charlotte,Derbyshire,AUS,18,00:07:03,00:00:53,00:18:20,00:00:26,00:10:28,24,,00:37:12
652340,151809,Giada,Stegani,ITA,27,00:07:05,00:00:51,00:18:21,00:00:24,00:10:32,25,,00:37:15
652340,17670,Sara,Vilic,AUT,11,00:06:57,00:00:53,00:18:26,00:00:26,00:11:04,26,,00:37:47
652340,165330,Olivia,Ebenstein,USA,26,00:07:02,00:00:55,00:18:21,00:00:23,00:11:08,27,,00:37:50
652340,176099,Cara,Macdonald,CAN,23,00:07:01,00:01:01,00:18:14,00:00:27,00:11:07,28,,00:37:51
652340,104222,Loanne,Duvoisin,SUI,22,00:07:21,00:00:56,00:19:21,00:00:27,00:10:17,29,,00:38:22
652340,116273,Dominika,Peszleg,HUN,28,00:07:14,00:00:56,00:19:28,00:00:25,00:10:52,30,,00:38:57
