Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
633645,115103,Chiara,Lobba,ITA,12,00:10:02,00:00:42,00:31:14,00:00:29,00:17:29,1,,00:59:56
633645,135673,Luna,De Bruin,NED,6,00:09:54,00:00:44,00:31:19,00:00:32,00:17:36,2,,01:00:05
633645,137276,Julia,Bröcker,GER,1,00:10:00,00:00:43,00:31:15,00:00:32,00:17:36,3,,01:00:06
633645,82885,Therese,Feuersinger,AUT,3,00:09:17,00:00:50,00:31:09,00:00:33,00:18:33,4,,01:00:22
633645,64903,Tjasa,Vrtacic,SLO,4,00:09:54,00:00:42,00:31:21,00:00:28,00:18:04,5,,01:00:29
633645,96853,Carlotta,Bonacina,ITA,10,00:09:54,00:00:44,00:31:21,00:00:32,00:18:02,6,,01:00:33
633645,110579,Iona,Miller,GBR,5,00:09:43,00:00:47,00:31:29,00:00:33,00:18:08,7,,01:00:40
633645,135389,Franka,Rust,GER,2,00:10:27,00:00:41,00:31:34,00:00:29,00:17:38,8,,01:00:49
633645,106357,Magdalena,Sudak,POL,7,00:09:59,00:00:42,00:31:17,00:00:32,00:18:28,9,,01:00:58
633645,150488,Felipa,Herrmann,GER,30,00:09:55,00:00:44,00:31:20,00:00:30,00:18:43,10,,01:01:12
633645,128034,Joanna,Woźniak,POL,16,00:10:28,00:00:44,00:32:29,00:00:36,00:17:08,11,,01:01:25
633645,129529,Zuzanna,Sudak,POL,15,00:09:57,00:00:43,00:32:10,00:00:28,00:18:12,12,,01:01:30
633645,106184,Alzbeta,Hruskova,CZE,14,00:10:17,00:00:41,00:31:50,00:00:35,00:18:24,13,,01:01:47
633645,158203,Borbála,Sarcia,HUN,17,00:09:59,00:00:47,00:31:57,00:00:35,00:18:34,14,,01:01:52
633645,135532,Isla,Britton,CAN,8,00:10:21,00:00:45,00:31:36,00:00:30,00:18:45,15,,01:01:57
633645,130014,Lara Thekla,Ungewickell,GER,22,00:10:16,00:00:44,00:31:43,00:00:32,00:18:50,16,,01:02:05
633645,135034,Józefina,Młynarska,POL,18,00:10:13,00:00:44,00:31:48,00:00:35,00:18:54,17,,01:02:14
633645,160951,Matylda,Wojakiewicz,POL,27,00:10:01,00:00:44,00:32:02,00:00:35,00:19:04,18,,01:02:26
633645,169874,Sophie,Gießmann,GER,21,00:10:10,00:00:44,00:31:55,00:00:31,00:19:10,19,,01:02:30
633645,140952,Dana,Prikrylova,CZE,32,00:09:56,00:00:46,00:31:19,00:00:31,00:20:01,20,,01:02:33
633645,149873,Aleksandra,Ferchmin,POL,24,00:10:31,00:00:42,00:32:23,00:00:30,00:18:41,21,,01:02:47
633645,106317,Tünde,Bukovszki,HUN,20,00:10:24,00:00:44,00:32:30,00:00:31,00:18:52,22,,01:03:01
633645,104244,Francesca,Crestani,ITA,19,00:10:26,00:00:47,00:32:25,00:00:30,00:19:02,23,,01:03:10
633645,135041,Weronika,Ptaszyńska,POL,28,00:10:30,00:00:44,00:32:23,00:00:31,00:19:05,24,,01:03:13
633645,176099,Cara,Macdonald,CAN,23,00:10:01,00:00:47,00:32:04,00:00:32,00:19:51,25,,01:03:15
633645,182744,Sabrina,Fleig,GER,36,00:10:07,00:00:44,00:32:51,00:00:29,00:19:06,26,,01:03:17
633645,140765,Maite,Kuestner,GER,25,00:10:20,00:00:50,00:32:30,00:00:28,00:20:05,27,,01:04:13
633645,97023,Désirée,Gmür,SUI,9,00:10:26,00:00:46,00:32:28,00:00:35,00:20:09,28,,01:04:24
633645,163676,Claudia Carmela,Paladini,ITA,34,00:10:24,00:00:49,00:32:24,00:00:40,00:20:42,29,,01:04:59
633645,157742,Aniek,Mars,NED,26,00:10:30,00:00:51,00:33:36,00:00:31,00:19:34,30,,01:05:02
633645,159761,Franziska,Neck,GER,35,00:10:04,00:00:50,00:32:50,00:00:35,00:20:52,31,,01:05:11
633645,82782,Henrika,Parviainen,FIN,11,00:10:10,00:00:46,00:31:54,00:00:32,00:22:22,32,,01:05:44
633645,148089,Grete Maria,Savitsch,EST,29,00:10:27,00:00:47,00:32:32,00:00:35,00:22:30,33,,01:06:51
633645,155470,Lydia,Musleh,JOR,31,00:09:58,00:00:51,00:34:13,00:00:35,00:21:56,34,,01:07:33
633645,172084,Zuzanna,Madej,POL,33,00:10:24,00:00:51,00:35:35,00:00:34,00:21:08,35,,01:08:32
633645,182764,Maria,Tyndzik,POL,37,00:10:33,00:00:49,00:36:13,00:00:36,00:22:28,36,,01:10:39
