Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
630030,103256,Pavlos,Antoniades,CAN,8,00:07:50,00:01:01,00:26:55,00:00:18,00:15:01,1,,00:51:07
630030,131932,Keller,Norland,USA,9,00:07:51,00:01:04,00:26:43,00:00:21,00:15:19,2,,00:51:20
630030,176980,Ryan,Luczak,USA,7,00:07:46,00:01:05,00:27:00,00:00:22,00:15:19,3,,00:51:34
630030,124358,Erik Yamir,Ramos Croda,MEX,5,00:07:57,00:01:07,00:26:44,00:00:17,00:15:28,4,,00:51:34
630030,112754,Gabriel,Terán Carvajal,ECU,1,00:07:46,00:01:03,00:26:59,00:00:22,00:15:31,5,,00:51:42
630030,39560,Juan Jose,Andrade Figueroa,ECU,2,00:07:49,00:00:59,00:27:02,00:00:20,00:15:49,6,,00:52:00
630030,56054,Ramón Armando,Matute,ECU,3,00:07:45,00:01:05,00:27:04,00:00:20,00:15:48,7,,00:52:05
630030,112657,Cristóbal,Baeza Muñoz,CHI,11,00:07:47,00:01:04,00:26:47,00:00:23,00:16:04,8,,00:52:07
630030,143420,Blake,Harris,CAN,10,00:07:47,00:01:06,00:26:55,00:00:26,00:16:14,9,,00:52:30
630030,125024,Aurél,Sinkó-Uribe,COL,15,00:07:49,00:01:09,00:26:54,00:00:22,00:16:17,10,,00:52:34
630030,132998,David,Vega Campoverde,ECU,16,00:07:49,00:01:04,00:26:59,00:00:25,00:16:26,11,,00:52:44
630030,18332,Carlos Javier,Quinchara Forero,COL,4,00:07:50,00:01:03,00:26:55,00:00:23,00:16:38,12,,00:52:52
630030,123192,Andrew,Shellenberger,USA,6,00:07:42,00:01:07,00:26:59,00:00:20,00:16:50,13,,00:52:59
630030,162352,Arturo,Guzmán Medina,COL,17,00:08:01,00:01:04,00:26:47,00:00:21,00:16:51,14,,00:53:06
630030,124906,Matias Sebastian,Bravo Delgado,ECU,14,00:08:14,00:01:02,00:28:00,00:00:21,00:15:33,15,,00:53:12
630030,158901,Valentin,Van Wersch,NED,19,00:08:14,00:01:05,00:27:14,00:00:22,00:16:33,16,,00:53:29
630030,166519,Rodrigo,Pacheco Gajá,MEX,20,00:08:15,00:01:01,00:28:01,00:00:20,00:16:01,17,,00:53:40
630030,142828,Luke,Anthony,USA,12,00:07:52,00:01:01,00:26:54,00:00:32,00:18:08,18,,00:54:28
630030,124908,Joaquin,Solis Narvaez,ECU,18,00:07:55,00:01:04,00:31:36,00:00:29,00:16:34,19,,00:57:39
630030,132989,Cesar Xavier,Criollo Matute,ECU,21,00:08:22,00:01:06,00:31:15,00:00:25,00:18:42,20,,00:59:52
630030,132999,Gabriel Joaquin,Quito Tello,ECU,23,00:08:30,00:01:10,00:32:09,00:00:22,00:18:46,21,,01:00:58
630030,187417,Martin Eduardo,Castro Bravo,ECU,24,00:09:59,00:01:18,00:32:17,00:00:39,00:19:31,22,,01:03:46
630030,166821,David Alejandro,Teran Carvajal,ECU,22,00:08:21,00:01:12,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
