Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
582518,156380,João Nuno,Batista,POR,15,00:09:10,00:00:28,00:26:33,00:00:26,00:14:37,1,,00:51:11
582518,169633,Nils,Serre Gehri,FRA,54,00:09:34,00:00:30,00:26:01,00:00:23,00:14:48,2,,00:51:14
582518,144208,Mathis,Beaulieu,CAN,2,00:09:29,00:00:30,00:26:10,00:00:24,00:14:45,3,,00:51:16
582518,160696,Thomas,Hansmaennel,FRA,26,00:09:40,00:00:29,00:25:55,00:00:23,00:15:09,4,,00:51:34
582518,165278,Osvaldo Darell,Zuñiga Fierro,MEX,40,00:09:47,00:00:28,00:25:51,00:00:33,00:14:59,5,,00:51:35
582518,162549,Reese,Vannerson,USA,8,00:09:48,00:00:30,00:25:55,00:00:24,00:15:00,6,,00:51:36
582518,175528,Carter,Stuhlmacher,USA,14,00:08:56,00:00:31,00:26:47,00:00:24,00:15:01,7,,00:51:37
582518,142828,Luke,Anthony,USA,21,00:09:52,00:00:30,00:25:40,00:00:25,00:15:14,8,,00:51:40
582518,158445,Zalán,Hóbor,HUN,44,00:08:58,00:00:29,00:26:01,00:00:22,00:15:54,9,,00:51:42
582518,158362,Euan,De Nigro,ITA,28,00:09:48,00:00:34,00:25:44,00:00:26,00:15:20,10,,00:51:49
582518,132948,Andree,Buc,CHI,3,00:09:29,00:00:30,00:26:08,00:00:25,00:15:20,11,,00:51:50
582518,135074,David,Lang,LUX,30,00:09:40,00:00:28,00:25:57,00:00:21,00:15:28,12,,00:51:52
582518,170069,Brandon,Pye,GBR,52,00:09:44,00:00:32,00:25:53,00:00:25,00:15:21,13,,00:51:53
582518,165596,Bradley,Course,AUS,1,00:09:27,00:00:30,00:26:09,00:00:24,00:15:28,14,,00:51:57
582518,159183,Pelayo,González Turrez,ESP,49,00:09:51,00:00:33,00:25:41,00:00:24,00:15:33,15,,00:52:00
582518,164373,Eirik,Berling Grande,NOR,33,00:09:47,00:00:31,00:25:49,00:00:24,00:15:34,16,,00:52:03
582518,158794,Gregor,Rasva,EST,22,00:09:00,00:00:30,00:26:01,00:00:24,00:16:14,17,,00:52:06
582518,174870,Oliver,Mills,GBR,64,00:09:50,00:00:35,00:25:46,00:00:23,00:15:35,18,,00:52:07
582518,166687,Jens,Smolders,BEL,55,00:09:55,00:00:32,00:25:44,00:00:25,00:15:34,19,,00:52:08
582518,158227,Antoine,L'hôte,SUI,39,00:09:55,00:00:29,00:25:44,00:00:25,00:15:36,20,,00:52:08
582518,160745,Carol,Popa,ROU,35,00:09:47,00:00:31,00:25:52,00:00:25,00:15:37,21,,00:52:11
582518,158978,Pablo,Isotton,FRA,25,00:09:32,00:00:31,00:26:01,00:00:25,00:15:46,22,,00:52:14
582518,166120,Benjamin,Airey,NZL,18,00:09:19,00:00:30,00:26:19,00:00:25,00:15:44,23,,00:52:15
