Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
582516,104034,Hayden,Wilde,NZL,,00:03:48,00:00:27,00:09:59,00:00:19,00:04:55,1,,00:19:26
582516,86042,Vasco,Vilaca,POR,,00:03:44,00:00:29,00:10:03,00:00:22,00:04:53,2,,00:19:28
582516,96742,Alex,Yee,GBR,,00:03:47,00:00:27,00:10:01,00:00:21,00:04:54,3,,00:19:28
582516,41322,Kristian,Blummenfelt,NOR,,00:03:50,00:00:28,00:09:57,00:00:21,00:04:57,4,,00:19:32
582516,80795,Matthew,Hauser,AUS,,00:03:44,00:00:28,00:10:04,00:00:20,00:04:59,5,,00:19:33
582516,70032,Max,Studer,SUI,,00:03:51,00:00:28,00:09:59,00:00:23,00:05:00,6,,00:19:38
582516,105480,Miguel,Hidalgo,BRA,,00:03:45,00:00:36,00:09:56,00:00:21,00:05:05,7,,00:19:41
582516,106885,Tim,Hellwig,GER,,00:03:42,00:00:31,00:10:03,00:00:21,00:05:09,8,,00:19:44
582516,49411,Tyler,Mislawchuk,CAN,,00:03:46,00:00:28,00:10:04,00:00:22,00:05:09,9,,00:19:47
582516,94446,Csongor,Lehmann,HUN,,00:03:41,00:00:29,00:10:06,00:00:21,00:05:17,10,,00:19:52
582516,54985,Tayler,Reid,NZL,,00:03:40,00:00:30,00:10:10,00:00:20,00:05:08,11,,00:19:47
582516,40311,Marten,Van Riel,BEL,,00:03:44,00:00:31,00:10:07,00:00:20,00:05:07,12,,00:19:47
582516,63428,Antonio,Serrat Seoane,ESP,,00:03:47,00:00:31,00:10:06,00:00:20,00:05:06,13,,00:19:47
582516,106950,Simon,Henseleit,GER,,00:03:43,00:00:28,00:10:09,00:00:19,00:05:09,14,,00:19:48
582516,70410,Lasse,Lührs,GER,,00:03:45,00:00:30,00:10:06,00:00:19,00:05:11,15,,00:19:49
582516,76425,Seth,Rider,USA,,00:03:46,00:00:30,00:10:04,00:00:21,00:05:16,16,,00:19:55
582516,63651,Tom,Richard,FRA,,00:03:42,00:00:34,00:10:06,00:00:22,00:05:17,17,,00:19:58
582516,61357,Valentin,Wernz,GER,,00:03:52,00:00:29,00:10:02,00:00:20,00:05:42,18,,00:20:24
582516,69143,Manoel,Messias,BRA,,00:03:58,00:00:29,00:10:31,00:00:24,00:05:31,19,,00:20:51
582516,63429,Roberto,Sanchez Mantecon,ESP,,00:03:56,00:00:28,00:10:51,00:00:24,00:06:10,20,,00:21:48
582516,30433,Henri,Schoeman,RSA,,00:03:46,00:00:31,00:10:00,00:00:23,00:05:16,21,,00:19:54
582516,155563,Jawad,Abdelmoula,MAR,,00:04:01,00:00:30,00:09:53,00:00:22,00:05:11,22,,00:19:56
582516,50700,Bence,Bicsák,HUN,,00:03:51,00:00:33,00:10:01,00:00:23,00:05:12,23,,00:19:58
582516,73078,Lasse Nygaard,Priester,GER,,00:03:52,00:00:29,00:10:03,00:00:21,00:05:17,24,,00:20:01
582516,79706,Charles,Paquet,CAN,,00:03:51,00:00:28,00:09:56,00:00:27,00:05:24,25,,00:20:05
582516,97196,Matthew,McElroy,USA,,00:03:56,00:00:30,00:09:59,00:00:21,00:05:32,26,,00:20:16
582516,103633,Janus,Staufenberg,NZL,,00:03:54,00:00:30,00:10:04,00:00:23,00:05:43,27,,00:20:32
